Direction,tCount,Time,HeadRotation,HeadPitch,HeadYaw,TrunkRotation,TrunkPitch,TrunkYaw,StartRotation
270,1,2.856983,(270.11* 331.74* 0.00),-2.582092,-0.09042358,(0.91* 96.29* 265.99),24.08143,8.615761,(272.49* 358.80* 333.12)
270,1,2.900088,(270.11* 331.73* 0.00),-2.578857,-0.08926392,(1.41* 95.81* 266.44),24.55268,7.910238,(272.49* 358.80* 333.12)
270,1,2.931382,(270.10* 331.74* 0.00),-2.580902,-0.09106445,(1.42* 95.79* 266.49),24.60743,7.880583,(272.49* 358.80* 333.12)
270,1,2.958448,(270.10* 331.74* 0.00),-2.582642,-0.09887695,(1.43* 95.79* 266.52),24.63725,7.873404,(272.49* 358.80* 333.12)
270,1,2.982834,(270.09* 331.76* 0.00),-2.568451,-0.08581543,(1.44* 95.78* 266.54),24.65038,7.864213,(272.49* 358.80* 333.12)
270,1,3.012381,(270.11* 331.75* 0.00),-2.594818,-0.09353638,(1.45* 95.78* 266.54),24.65867,7.856288,(272.49* 358.80* 333.12)
270,1,3.040274,(270.08* 331.75* 0.00),-2.539948,-0.1025696,(1.46* 95.79* 266.54),24.65597,7.860569,(272.49* 358.80* 333.12)
270,1,3.06837,(270.09* 331.72* 0.00),-2.538544,-0.1105957,(1.44* 95.79* 266.54),24.65124,7.86742,(272.49* 358.80* 333.12)
270,1,3.097486,(270.11* 331.71* 0.00),-2.571777,-0.110321,(1.42* 95.79* 266.54),24.65666,7.883441,(272.49* 358.80* 333.12)
270,1,3.125454,(270.10* 331.72* 0.00),-2.569519,-0.1081238,(0.99* 96.18* 266.25),24.34866,8.467877,(272.49* 358.80* 333.12)
270,1,3.153339,(270.09* 331.73* 0.00),-2.545685,-0.10849,(1.14* 96.03* 266.39),24.48864,8.249834,(272.49* 358.80* 333.12)
270,1,3.181524,(270.08* 331.74* 0.00),-2.541809,-0.1056824,(0.82* 96.31* 266.16),24.25026,8.674997,(272.49* 358.80* 333.12)
270,1,3.208896,(270.08* 331.74* 0.00),-2.525391,-0.1048279,(0.79* 96.33* 266.16),24.2441,8.708087,(272.49* 358.80* 333.12)
270,1,3.237084,(270.07* 331.75* 0.00),-2.517822,-0.105011,(0.79* 96.34* 266.19),24.27841,8.715757,(272.49* 358.80* 333.12)
270,1,3.264903,(270.08* 331.74* 0.00),-2.524872,-0.1100159,(0.81* 96.32* 266.16),24.25127,8.691073,(272.49* 358.80* 333.12)
270,1,3.292794,(270.09* 331.72* 0.00),-2.522461,-0.1152954,(0.87* 96.31* 266.26),24.35337,8.654589,(272.49* 358.80* 333.12)
270,1,3.321413,(270.10* 331.72* 0.00),-2.504486,-0.1188049,(0.88* 96.28* 266.15),24.24403,8.619924,(272.49* 358.80* 333.12)
