Participant,Posture,tCount,Direction,MaxViewingRange,StartVector,EndVector,StartRotation
9,Lying,1,270,167.0505,(0.06* 1.00* -0.08),(0.01* -0.99* -0.14),(273.16* 112.54* 221.51)
9,Lying,2,270,167.1188,(0.03* 1.00* -0.05),(0.01* -0.99* -0.17),(273.16* 112.54* 221.51)
9,Lying,3,270,162.2366,(0.06* 0.99* -0.09),(0.04* -0.98* -0.20),(273.16* 112.54* 221.51)
9,Lying,1,45,87.70005,(0.06* 1.00* -0.08),(0.93* -0.04* -0.37),(273.16* 112.54* 221.51)
9,Lying,2,45,82.22549,(0.08* 0.99* -0.09),(0.92* 0.03* -0.40),(273.16* 112.54* 221.51)
9,Lying,3,45,86.41869,(0.06* 1.00* -0.07),(0.93* -0.02* -0.37),(273.16* 112.54* 221.51)
9,Lying,1,0,100.4798,(0.07* 0.99* -0.09),(0.91* -0.21* 0.37),(273.16* 112.54* 221.51)
9,Lying,2,0,100.7692,(0.07* 0.99* -0.09),(0.90* -0.21* 0.37),(273.16* 112.54* 221.51)
9,Lying,3,0,96.08629,(0.07* 1.00* -0.06),(0.90* -0.15* 0.40),(273.16* 112.54* 221.51)
9,Lying,1,90,64.17387,(0.08* 0.99* -0.08),(0.41* 0.34* -0.85),(273.16* 112.54* 221.51)
9,Lying,2,90,61.80626,(0.04* 1.00* -0.05),(0.41* 0.41* -0.81),(273.16* 112.54* 221.51)
9,Lying,3,90,40.41223,(0.04* 1.00* -0.06),(0.28* 0.72* -0.64),(273.16* 112.54* 221.51)
9,Lying,1,225,266.2036,(0.05* 1.00* -0.07),(-0.97* 0.00* 0.24),(273.16* 112.54* 221.51)
9,Lying,2,225,269.7526,(0.03* 1.00* -0.05),(-0.97* 0.04* 0.25),(273.16* 112.54* 221.51)
9,Lying,3,225,266.7499,(0.01* 1.00* -0.08),(-0.97* -0.03* 0.25),(273.16* 112.54* 221.51)
9,Lying,1,180,267.625,(0.02* 1.00* -0.07),(-0.87* -0.05* -0.49),(273.16* 112.54* 221.51)
9,Lying,2,180,257.5095,(0.02* 1.00* -0.08),(-0.85* -0.24* -0.47),(273.16* 112.54* 221.51)
9,Lying,3,180,254.6608,(0.03* 1.00* -0.09),(-0.84* -0.29* -0.47),(273.16* 112.54* 221.51)
9,Lying,1,315,137.9859,(0.01* 1.00* -0.08),(0.20* -0.69* 0.69),(273.16* 112.54* 221.51)
9,Lying,2,315,143.7613,(0.01* 1.00* -0.04),(0.18* -0.79* 0.59),(273.16* 112.54* 221.51)
9,Lying,3,315,147.8635,(0.03* 1.00* -0.02),(0.12* -0.84* 0.53),(273.16* 112.54* 221.51)
9,Lying,1,135,356.0974,(0.03* 1.00* -0.03),(0.02* 1.00* -0.09),(273.16* 112.54* 221.51)
9,Lying,2,135,357.6781,(0.03* 1.00* -0.08),(0.02* 0.99* -0.12),(273.16* 112.54* 221.51)
9,Lying,3,135,281.3487,(0.03* 0.99* -0.11),(-0.31* 0.10* -0.94),(273.16* 112.54* 221.51)
