Participant,Posture,tCount,Direction,MaxViewingRange,StartVector,EndVector,StartRotation
11,Standing,1,180,156.0024,(-0.04* 0.04* 1.00),(-0.37* -0.01* -0.93),(358.54* 358.66* 359.81)
11,Standing,2,180,149.7318,(-0.03* 0.05* 1.00),(-0.47* -0.01* -0.88),(358.54* 358.66* 359.81)
11,Standing,3,180,152.0643,(-0.04* 0.04* 1.00),(-0.43* -0.01* -0.90),(358.54* 358.66* 359.81)
11,Standing,1,315,203.0547,(-0.03* 0.04* 1.00),(0.31* -0.31* -0.90),(358.54* 358.66* 359.81)
11,Standing,2,315,201.1184,(-0.03* 0.04* 1.00),(0.29* -0.28* -0.91),(358.54* 358.66* 359.81)
11,Standing,3,315,202.3838,(-0.05* 0.04* 1.00),(0.31* -0.31* -0.90),(358.54* 358.66* 359.81)
11,Standing,1,135,139.933,(-0.04* 0.04* 1.00),(-0.43* 0.41* -0.80),(358.54* 358.66* 359.81)
11,Standing,2,135,166.5677,(-0.05* 0.04* 1.00),(-0.14* 0.11* -0.98),(358.54* 358.66* 359.81)
11,Standing,3,135,153.0453,(-0.05* 0.04* 1.00),(-0.27* 0.29* -0.92),(358.54* 358.66* 359.81)
11,Standing,1,270,71.66736,(-0.03* 0.05* 1.00),(-0.02* -0.93* 0.36),(358.54* 358.66* 359.81)
11,Standing,2,270,64.09082,(-0.04* 0.04* 1.00),(-0.03* -0.88* 0.47),(358.54* 358.66* 359.81)
11,Standing,3,270,65.6191,(-0.04* 0.04* 1.00),(-0.03* -0.89* 0.45),(358.54* 358.66* 359.81)
11,Standing,1,45,234.356,(-0.05* 0.00* 1.00),(0.59* 0.58* -0.56),(358.54* 358.66* 359.81)
11,Standing,2,45,230.0988,(-0.05* 0.05* 1.00),(0.54* 0.54* -0.64),(358.54* 358.66* 359.81)
11,Standing,3,45,232.0069,(-0.05* 0.05* 1.00),(0.55* 0.56* -0.62),(358.54* 358.66* 359.81)
11,Standing,1,0,198.9557,(-0.03* 0.06* 1.00),(0.35* 0.00* -0.94),(358.54* 358.66* 359.81)
11,Standing,2,0,200.0231,(-0.04* 0.05* 1.00),(0.38* 0.00* -0.93),(358.54* 358.66* 359.81)
11,Standing,3,0,196.3238,(-0.05* 0.04* 1.00),(0.32* 0.00* -0.95),(358.54* 358.66* 359.81)
11,Standing,1,90,70.57143,(-0.04* 0.03* 1.00),(-0.03* 0.95* 0.30),(358.54* 358.66* 359.81)
11,Standing,2,90,73.01006,(-0.05* 0.04* 1.00),(-0.03* 0.97* 0.25),(358.54* 358.66* 359.81)
11,Standing,3,90,75.25006,(-0.04* 0.06* 1.00),(-0.01* 0.98* 0.20),(358.54* 358.66* 359.81)
11,Standing,1,225,140.7749,(-0.04* 0.08* 1.00),(-0.46* -0.46* -0.76),(358.54* 358.66* 359.81)
11,Standing,2,225,149.8851,(-0.03* 0.05* 1.00),(-0.37* -0.36* -0.86),(358.54* 358.66* 359.81)
11,Standing,3,225,155.9263,(-0.04* 0.05* 1.00),(-0.29* -0.29* -0.91),(358.54* 358.66* 359.81)
