Direction,tCount,Time,HeadRotation,HeadPitch,HeadYaw,TrunkRotation,TrunkPitch,TrunkYaw,StartRotation
315,1,5.175909,(349.65* 265.64* 358.80),-0.4893188,10.64707,(3.07* 7.34* 2.98),-7.960419,111.7333,(346.88* 254.93* 359.04)
315,1,5.214491,(349.67* 265.52* 358.84),-0.5361938,10.53384,(3.54* 7.22* 2.35),-7.468506,111.57,(346.88* 254.93* 359.04)
315,1,5.242607,(349.66* 265.41* 358.82),-0.5088196,10.41827,(3.81* 7.23* 2.45),-7.638275,111.536,(346.88* 254.93* 359.04)
315,1,5.270998,(349.69* 265.39* 358.76),-0.4589539,10.39523,(3.83* 7.21* 2.44),-7.627136,111.5207,(346.88* 254.93* 359.04)
315,1,5.294221,(349.70* 265.40* 358.72),-0.4308777,10.39261,(3.72* 7.35* 3.07),-8.212036,111.6468,(346.88* 254.93* 359.04)
315,1,5.322806,(349.61* 265.44* 358.71),-0.3945007,10.43673,(2.77* 7.23* 2.67),-7.591156,111.6681,(346.88* 254.93* 359.04)
315,1,5.351297,(349.56* 265.52* 358.66),-0.336792,10.50051,(2.01* 7.68* 1.85),-6.610413,112.2167,(346.88* 254.93* 359.04)
315,1,5.380328,(349.47* 265.57* 358.63),-0.2854309,10.55172,(1.89* 7.72* 1.71),-6.443787,112.2748,(346.88* 254.93* 359.04)
315,1,5.408373,(349.34* 265.63* 358.59),-0.2048645,10.59892,(2.00* 7.80* 1.52),-6.280945,112.3435,(346.88* 254.93* 359.04)
315,1,5.436787,(349.26* 265.66* 358.54),-0.1381531,10.62148,(1.66* 7.94* 2.10),-6.75885,112.5122,(346.88* 254.93* 359.04)
315,1,5.46447,(349.23* 265.72* 358.50),-0.09454346,10.67584,(1.60* 7.97* 2.18),-6.823212,112.5487,(346.88* 254.93* 359.04)
315,1,5.492365,(349.16* 265.75* 358.49),-0.06787109,10.70495,(1.94* 7.88* 1.62),-6.364197,112.4298,(346.88* 254.93* 359.04)
315,1,5.520519,(349.08* 265.78* 358.47),-0.02865601,10.73253,(2.04* 7.87* 1.39),-6.169373,112.409,(346.88* 254.93* 359.04)
315,1,5.548048,(349.06* 265.78* 358.44),0.004460354,10.72097,(2.82* 6.96* 1.15),-6.131683,111.4224,(346.88* 254.93* 359.04)
315,1,5.576329,(348.96* 265.79* 358.41),0.05608856,10.7276,(3.96* 7.07* 1.87),-7.113251,111.3806,(346.88* 254.93* 359.04)
315,1,5.604304,(348.81* 265.77* 358.38),0.1214045,10.70242,(4.23* 7.14* 2.07),-7.375092,111.4096,(346.88* 254.93* 359.04)
315,1,5.631573,(348.77* 265.74* 358.33),0.1872377,10.6616,(4.27* 7.13* 2.11),-7.417145,111.3924,(346.88* 254.93* 359.04)
315,1,5.659977,(348.76* 265.73* 358.32),0.1905718,10.64879,(3.30* 7.01* 1.79),-6.87442,111.4039,(346.88* 254.93* 359.04)
315,1,5.687434,(348.75* 265.72* 358.36),0.1617107,10.64735,(3.22* 7.00* 1.80),-6.858643,111.3957,(346.88* 254.93* 359.04)
315,1,5.715369,(348.76* 265.71* 358.38),0.1358251,10.64737,(3.21* 6.98* 1.82),-6.873108,111.379,(346.88* 254.93* 359.04)
315,1,5.74343,(348.87* 265.67* 358.38),0.1094235,10.60066,(3.84* 7.13* 2.15),-7.354675,111.4437,(346.88* 254.93* 359.04)
315,1,5.770905,(349.01* 265.65* 358.36),0.09109338,10.57912,(3.99* 7.21* 2.38),-7.612152,111.4918,(346.88* 254.93* 359.04)
315,1,5.801174,(349.18* 265.62* 358.30),0.1026475,10.54086,(3.77* 6.96* 1.77),-6.968689,111.2996,(346.88* 254.93* 359.04)
315,1,5.826087,(349.43* 265.66* 358.20),0.1372095,10.56417,(3.38* 7.00* 2.07),-7.162903,111.3706,(346.88* 254.93* 359.04)
315,1,5.85422,(349.79* 265.76* 358.09),0.1531715,10.64439,(3.51* 6.85* 1.77),-6.900146,111.22,(346.88* 254.93* 359.04)
315,1,5.882205,(350.13* 265.92* 358.00),0.1490589,10.786,(4.04* 7.17* 2.29),-7.538727,111.4503,(346.88* 254.93* 359.04)
315,1,5.909383,(350.49* 266.14* 357.91),0.1404582,10.99133,(3.76* 7.45* 3.00),-8.158569,111.7499,(346.88* 254.93* 359.04)
315,1,5.937561,(350.99* 266.35* 357.80),0.1135198,11.19115,(3.47* 7.29* 2.58),-7.679535,111.6365,(346.88* 254.93* 359.04)
315,1,5.965251,(351.53* 266.59* 357.72),0.05696741,11.41162,(3.56* 7.38* 2.71),-7.822632,111.7111,(346.88* 254.93* 359.04)
315,1,5.993805,(351.96* 266.86* 357.64),0.02104536,11.67346,(3.85* 7.36* 2.30),-7.497223,111.6663,(346.88* 254.93* 359.04)
