range,posture,start,end,
90,Standing,11276,11344,
90,Standing,11276,11376,
90,Standing,11276,11406,
90,Standing,11276,11423,
90,Standing,11276,11436,
90,Standing,11276,11463,
90,Standing,11276,11475,
90,Standing,11276,11493,
90,Standing,11276,11509,
90,Standing,11276,11522,
90,Standing,11276,11537,
90,Standing,11276,11549,
90,Standing,11276,11561,
90,Standing,11276,11579,
90,Standing,11276,11591,
90,Standing,11276,11606,
90,Standing,11276,11618,
90,Standing,11276,11635,
90,Standing,11276,11648,
90,Standing,11276,11665,
90,Standing,11276,11677,
90,Standing,11276,11689,
90,Standing,11276,11705,
90,Standing,11276,11717,
90,Standing,11276,11729,
90,Standing,11276,11747,
90,Standing,11276,11759,
90,Standing,11276,11776,
90,Standing,11276,11788,
90,Standing,11276,11801,
90,Standing,11276,11815,
90,Standing,11276,11828,
90,Standing,11276,11845,
90,Standing,11276,11857,
90,Standing,11276,11872,
90,Standing,11276,11884,
90,Standing,11276,11896,
90,Standing,11276,11909,
90,Standing,11276,11926,
90,Standing,11276,11938,
90,Standing,11276,11956,
90,Standing,11276,11968,
90,Standing,11276,11983,
90,Standing,11276,11996,
90,Standing,11276,12008,
90,Standing,11276,12025,
90,Standing,11276,12038,
90,Standing,11276,12050,
90,Standing,11276,12066,
90,Standing,11276,12077,
90,Standing,11276,12094,
90,Standing,11276,12106,
90,Standing,11276,12121,
90,Standing,11276,12136,
90,Standing,11276,12148,
90,Standing,11276,12163,
90,Standing,11276,12175,
90,Standing,11276,12187,
90,Standing,11276,12205,
90,Standing,11276,12222,
90,Standing,11276,12247,
90,Standing,11276,12259,
90,Standing,11276,12274,
90,Standing,11276,12286,
90,Standing,11276,12299,
90,Standing,11276,12316,
90,Standing,11276,12328,
90,Standing,11276,12343,
90,Standing,11276,12355,
90,Standing,11276,12367,
90,Standing,11276,12385,
90,Standing,11276,12397,
90,Standing,11276,12414,
90,Standing,11276,12427,
90,Standing,11276,12439,
90,Standing,11276,12453,
90,Standing,11276,12466,
90,Standing,11276,12483,
90,Standing,11276,12495,
90,Standing,11276,12508,
90,Standing,11276,12525,
90,Standing,11276,12537,
90,Standing,11276,12553,
90,Standing,11276,12565,
90,Standing,11276,12577,
90,Standing,11276,12595,
90,Standing,11276,12607,
90,Standing,11276,12621,
90,Standing,11276,12634,
90,Standing,11276,12646,
90,Standing,11276,12663,
90,Standing,11276,12676,
90,Standing,11276,12688,
90,Standing,11276,12705,
90,Standing,11276,12718,
90,Standing,11276,12732,
90,Standing,11276,12744,
90,Standing,11276,12758,
90,Standing,11276,12774,
90,Standing,11276,12786,
90,Standing,11276,12804,
90,Standing,11276,12816,
90,Standing,11276,12828,
90,Standing,11276,12844,
90,Standing,11276,12856,
90,Standing,11276,12873,
90,Standing,11276,12886,
90,Standing,11276,12898,
90,Standing,11276,12912,
90,Standing,11276,12924,
90,Standing,11276,12937,
90,Standing,11276,12954,
90,Standing,11276,12966,
90,Standing,11276,12984,
90,Standing,11276,12996,
90,Standing,11276,13008,
90,Standing,11276,13023,
90,Standing,11276,13036,
90,Standing,11276,13052,
90,Standing,11276,13065,
90,Standing,11276,13082,
90,Standing,11276,13094,
90,Standing,11276,13107,
90,Standing,11276,13122,
90,Standing,11276,13134,
90,Standing,11276,13147,
90,Standing,11276,13164,
90,Standing,11276,13176,
90,Standing,11276,13191,
90,Standing,11276,13203,
90,Standing,11276,13218,
90,Standing,11276,13233,
90,Standing,11276,13245,
90,Standing,11276,13262,
90,Standing,11276,13275,
90,Standing,11276,13287,
90,Standing,11276,13302,
90,Standing,11276,13315,
90,Standing,11276,13331,
90,Standing,11276,13343,
90,Standing,11276,13356,
90,Standing,11276,13371,
90,Standing,11276,13383,
90,Standing,11276,13401,
90,Standing,11276,13413,
90,Standing,11276,13425,
90,Standing,11276,13443,
90,Standing,11276,13455,
90,Standing,11276,13467,
90,Standing,11276,13481,
90,Standing,11276,13494,
90,Standing,11276,13511,
90,Standing,11276,13523,
90,Standing,11276,13536,
90,Standing,11276,13553,
90,Standing,11276,13565,
90,Standing,11276,13581,
90,Standing,11276,13593,
90,Standing,11276,13605,
90,Standing,11276,13622,
90,Standing,11276,13634,
90,Standing,11276,13649,
90,Standing,11276,13662,
90,Standing,11276,13674,
90,Standing,11276,13691,
90,Standing,11276,13704,
90,Standing,11276,13721,
90,Standing,11276,13733,
90,Standing,11276,13746,
90,Standing,11276,13760,
90,Standing,11276,13772,
90,Standing,11276,13790,
90,Standing,11276,13802,
90,Standing,11276,13814,
90,Standing,16466,16479,
90,Standing,16466,16496,
90,Standing,16466,16526,
90,Standing,16466,16538,
90,Standing,16466,16550,
90,Standing,16466,16566,
90,Standing,16466,16578,
90,Standing,16466,16590,
90,Standing,16466,16608,
90,Standing,16466,16620,
90,Standing,16466,16636,
90,Standing,16466,16650,
90,Standing,16466,16664,
90,Standing,16466,16676,
90,Standing,16466,16689,
90,Standing,16466,16711,
90,Standing,16466,16733,
90,Standing,16466,16745,
90,Standing,16466,16760,
90,Standing,16466,16775,
90,Standing,16466,16787,
90,Standing,16466,16799,
90,Standing,16466,16817,
90,Standing,16466,16829,
90,Standing,16466,16841,
90,Standing,16466,16857,
90,Standing,16466,16869,
90,Standing,16466,16886,
90,Standing,16466,16899,
90,Standing,16466,16911,
90,Standing,16466,16928,
90,Standing,16466,16941,
90,Standing,16466,16953,
90,Standing,16466,16967,
90,Standing,16466,16979,
90,Standing,16466,16997,
90,Standing,16466,17009,
90,Standing,16466,17021,
90,Standing,16466,17036,
90,Standing,16466,17048,
90,Standing,16466,17065,
90,Standing,16466,17078,
90,Standing,16466,17090,
90,Standing,16466,17107,
90,Standing,16466,17120,
90,Standing,16466,17135,
90,Standing,16466,17147,
90,Standing,16466,17160,
90,Standing,16466,17177,
90,Standing,16466,17189,
90,Standing,16466,17207,
90,Standing,16466,17219,
90,Standing,16466,17231,
90,Standing,16466,17246,
90,Standing,16466,17258,
90,Standing,16466,17275,
90,Standing,16466,17288,
90,Standing,16466,17300,
90,Standing,16466,17314,
90,Standing,16466,17328,
90,Standing,16466,17342,
90,Standing,16466,17356,
90,Standing,16466,17369,
90,Standing,16466,17386,
90,Standing,16466,17398,
90,Standing,16466,17414,
90,Standing,16466,17426,
90,Standing,16466,17438,
90,Standing,16466,17456,
90,Standing,16466,17468,
90,Standing,16466,17480,
90,Standing,16466,17495,
90,Standing,16466,17507,
90,Standing,16466,17524,
90,Standing,16466,17537,
90,Standing,16466,17549,
90,Standing,16466,17566,
90,Standing,16466,17579,
90,Standing,16466,17593,
90,Standing,16466,17606,
90,Standing,16466,17618,
90,Standing,16466,17635,
90,Standing,16466,17647,
90,Standing,16466,17665,
90,Standing,16466,17689,
90,Standing,16466,17704,
90,Standing,16466,17717,
90,Standing,16466,17729,
90,Standing,16466,17746,
90,Standing,16466,17759,
90,Standing,16466,17773,
90,Standing,16466,17785,
90,Standing,16466,17798,
90,Standing,16466,17815,
90,Standing,16466,17827,
90,Standing,16466,17845,
90,Standing,16466,17857,
90,Standing,16466,17869,
90,Standing,16466,17885,
90,Standing,16466,17901,
90,Standing,16466,17913,
90,Standing,16466,17926,
90,Standing,16466,17939,
90,Standing,16466,17951,
90,Standing,16466,17968,
90,Standing,16466,17980,
90,Standing,16466,17995,
90,Standing,16466,18008,
90,Standing,16466,18020,
90,Standing,16466,18037,
90,Standing,16466,18050,
90,Standing,16466,18064,
90,Standing,16466,18076,
90,Standing,16466,18094,
90,Standing,16466,18106,
90,Standing,16466,18118,
90,Standing,16466,18136,
90,Standing,16466,18148,
90,Standing,16466,18160,
90,Standing,16466,18176,
90,Standing,16466,18188,
90,Standing,16466,18204,
90,Standing,16466,18217,
90,Standing,16466,18234,
90,Standing,16466,18246,
90,Standing,16466,18258,
90,Standing,16466,18274,
90,Standing,16466,18286,
90,Standing,16466,18298,
90,Standing,16466,18316,
90,Standing,16466,18328,
90,Standing,16466,18342,
90,Standing,16466,18355,
90,Standing,16466,18367,
90,Standing,16466,18384,
90,Standing,16466,18397,
90,Standing,16466,18414,
90,Standing,16466,18426,
90,Standing,16466,18439,
90,Standing,16466,18454,
90,Standing,16466,18466,
90,Standing,16466,18483,
90,Standing,16466,18496,
90,Standing,16466,18508,
90,Standing,16466,18523,
90,Standing,16466,18535,
90,Standing,16466,18547,
90,Standing,16466,18565,
90,Standing,16466,18577,
90,Standing,16466,18594,
90,Standing,16466,18607,
90,Standing,16466,18621,
90,Standing,16466,18633,
90,Standing,16466,18646,
90,Standing,16466,18663,
90,Standing,16466,18675,
90,Standing,16466,18688,
90,Standing,16466,18705,
90,Standing,21052,21064,
90,Standing,21052,21076,
90,Standing,21052,21103,
90,Standing,21052,21121,
90,Standing,21052,21133,
90,Standing,21052,21145,
90,Standing,21052,21160,
90,Standing,21052,21173,
90,Standing,21052,21190,
90,Standing,21052,21220,
90,Standing,21052,21246,
90,Standing,21052,21271,
90,Standing,21052,21301,
90,Standing,21052,21330,
90,Standing,21052,21343,
90,Standing,21052,21355,
90,Standing,21052,21369,
90,Standing,21052,21382,
90,Standing,21052,21399,
90,Standing,21052,21411,
90,Standing,21052,21424,
90,Standing,21052,21439,
90,Standing,21052,21451,
90,Standing,21052,21464,
90,Standing,21052,21481,
90,Standing,21052,21493,
90,Standing,21052,21511,
90,Standing,21052,21523,
90,Standing,21052,21537,
90,Standing,21052,21550,
90,Standing,21052,21562,
90,Standing,21052,21579,
90,Standing,21052,21592,
90,Standing,21052,21604,
90,Standing,21052,21618,
90,Standing,21052,21632,
90,Standing,21052,21648,
90,Standing,21052,21660,
90,Standing,21052,21672,
90,Standing,21052,21690,
90,Standing,21052,21702,
90,Standing,21052,21718,
90,Standing,21052,21730,
90,Standing,21052,21742,
90,Standing,21052,21760,
90,Standing,21052,21772,
90,Standing,21052,21784,
90,Standing,21052,21801,
90,Standing,21052,21814,
90,Standing,21052,21828,
90,Standing,21052,21840,
90,Standing,21052,21853,
90,Standing,21052,21870,
90,Standing,21052,21882,
90,Standing,21052,21898,
90,Standing,21052,21910,
90,Standing,21052,21922,
90,Standing,21052,21939,
90,Standing,21052,21951,
90,Standing,21052,21968,
90,Standing,21052,21981,
90,Standing,21052,21993,
90,Standing,21052,22008,
90,Standing,21052,22021,
90,Standing,21052,22033,
90,Standing,21052,22050,
90,Standing,21052,22063,
90,Standing,21052,22080,
90,Standing,21052,22092,
90,Standing,21052,22119,
90,Standing,21052,22131,
90,Standing,21052,22149,
90,Standing,21052,22161,
90,Standing,21052,22173,
90,Standing,21052,22189,
90,Standing,21052,22201,
90,Standing,21052,22217,
90,Standing,21052,22230,
90,Standing,21052,22243,
90,Standing,21052,22259,
90,Standing,21052,22272,
90,Standing,21052,22287,
90,Standing,21052,22304,
90,Standing,21052,22329,
90,Standing,21052,22341,
90,Standing,21052,22359,
90,Standing,21052,22371,
90,Standing,21052,22385,
90,Standing,21052,22397,
90,Standing,21052,22410,
90,Standing,21052,22427,
90,Standing,21052,22439,
90,Standing,21052,22452,
90,Standing,21052,22467,
90,Standing,21052,22479,
90,Standing,21052,22492,
90,Standing,21052,22509,
90,Standing,21052,22521,
90,Standing,21052,22538,
90,Standing,21052,22550,
90,Standing,21052,22562,
90,Standing,21052,22578,
90,Standing,21052,22590,
90,Standing,21052,22602,
90,Standing,21052,22620,
90,Standing,21052,22632,
90,Standing,21052,22646,
90,Standing,21052,22659,
90,Standing,21052,22671,
