time, HeadPitch, HeadYaw, HeadRoll, BodyPitch, BodyYaw, BodyRoll
0.4256515, 0, 0, 0, 0, 0, 0
0.4296277, 0.1101434, -0.2564087, -0.1136409, 0.1046783, -0.2533378, -0.09487279
0.4332377, 0.199792, -0.2470816, -0.08156469, 0.1876719, -0.2382111, -0.06255726
0.4363763, 0.2697954, -0.2365626, -0.06255726, 0.2502292, -0.2398483, -0.03956468
0.4394495, 0.3262592, -0.2281412, -0.03956468, 0.2993615, -0.2406627, -0.01978234
0.443182, 0.3716771, -0.2211734, -0.02797646, 0.339197, -0.2438933, 0
0.4466754, 0.4068635, -0.2158, -0.01978234, 0.3732531, -0.2365626, 0
0.449762, 0.4347627, -0.2121421, 0, 0.4000739, -0.2306999, 0.01978234
0.45324, 0.4571402, -0.20842, 0, 0.4228991, -0.2211734, 0.02797646
0.4569382, 0.4751895, -0.2055842, 0.01978234, 0.4405747, -0.2148914, 0.03426402
0.4601617, 0.4893896, -0.2027088, 0.01978234, 0.4545648, -0.2093567, 0.03956468
0.4635884, 0.5051297, -0.2046302, 0.02797646, 0.466462, -0.2017412, 0.04423466
0.4667424, 0.5177552, -0.2055842, 0.02797646, 0.4751895, -0.1968319, 0.04845664
0.4707988, 0.5218958, -0.2017412, 0.03426402, 0.4829499, -0.1907741, 0.04845664
0.4738967, 0.5245137, -0.1968319, 0.02797646, 0.4897892, -0.1866263, 0.04845664
0.4772912, 0.5263757, -0.1938267, 0.02797646, 0.4941643, -0.183454, 0.05233916
0.4804843, 0.5326577, -0.1948336, 0.03426402, 0.4981082, -0.1791368, 0.05595291
0.4840287, 0.5377761, -0.1958353, 0.03426402, 0.5008504, -0.1769387, 0.05233916
0.4871794, 0.5450047, -0.199792, 0.03426402, 0.5082192, -0.1769387, 0.05595291
0.490332, 0.5503638, -0.2007689, 0.03956468, 0.513962, -0.1769387, 0.05934703
0.4934618, 0.5546138, -0.2027088, 0.03956468, 0.5185105, -0.1769387, 0.05934703
0.4972604, 0.5567266, -0.2055842, 0.04845664, 0.5192646, -0.1758294, 0.05934703
0.5004103, 0.5584812, -0.2074791, 0.04423466, 0.5196414, -0.1758294, 0.05934703
0.5038743, 0.5626699, -0.2112177, 0.04845664, 0.5188877, -0.174713, 0.05934703
0.50685, 0.5661368, -0.2139789, 0.05233916, 0.5185105, -0.1735894, 0.05934703
0.510391, 0.5685511, -0.2167048, 0.05595291, 0.518133, -0.1724585, 0.05934703
0.5137628, 0.5699261, -0.2158, 0.05595291, 0.5215207, -0.1758294, 0.05934703
0.5168491, 0.5709552, -0.2148914, 0.05934703, 0.5245137, -0.1758294, 0.06255726
0.5200555, 0.5784457, -0.220287, 0.05934703, 0.5233933, -0.1769387, 0.05934703
0.524097, 0.5848376, -0.2238118, 0.0656106, 0.5226451, -0.1769387, 0.06255726
0.5273026, 0.5901666, -0.2272819, 0.0656106, 0.5215207, -0.1758294, 0.05934703
0.5302416, 0.5934729, -0.2298502, 0.06852804, 0.5192646, -0.1758294, 0.05934703
0.5334012, 0.5967609, -0.2332305, 0.06852804, 0.5173771, -0.174713, 0.05934703
0.5368378, 0.5928131, -0.2281412, 0.07132626, 0.5151029, -0.191797, 0.06255726
0.5398895, 0.5901666, -0.2246844, 0.07661668, 0.5132, -0.2065338, 0.06255726
0.5428403, 0.5878411, -0.220287, 0.07912937, 0.5112901, -0.2176059, 0.05934703
0.5465922, 0.5851721, -0.2176059, 0.08156469, 0.5082192, -0.2158, 0.05934703
0.5501845, 0.5831623, -0.2139789, 0.08392937, 0.5055169, -0.2148914, 0.05595291
0.5534142, 0.5811456, -0.2121421, 0.08622923, 0.5035778, -0.2148914, 0.05595291
0.5567191, 0.5791218, -0.2102893, 0.08846933, 0.5016313, -0.20842, 0.05934703
0.5597227, 0.577091, -0.2093567, 0.08846933, 0.5000685, -0.2036718, 0.05934703
0.5636937, 0.5760729, -0.20842, 0.09065409, 0.4981082, -0.1978235, 0.05934703
0.5670386, 0.5753932, -0.20842, 0.09278741, 0.4965344, -0.1928145, 0.05934703
0.5706546, 0.5818186, -0.2121421, 0.08846933, 0.4949555, -0.1876719, 0.05595291
0.5738924, 0.5868416, -0.2148914, 0.09065409, 0.4933717, -0.1823843, 0.05595291
0.5778363, 0.5908293, -0.2185032, 0.08846933, 0.4929749, -0.1791368, 0.05595291
0.5810653, 0.5974163, -0.2238118, 0.08846933, 0.4913847, -0.174713, 0.05595291
0.5846428, 0.6029587, -0.2289973, 0.08846933, 0.4905876, -0.1735894, 0.05595291
0.5878256, 0.6071628, -0.2315465, 0.08622923, 0.4881886, -0.1690205, 0.05595291
0.5912938, 0.6106976, -0.2332305, 0.08392937, 0.4869847, -0.166689, 0.05595291
0.5945635, 0.6084505, -0.2349025, 0.08392937, 0.4853748, -0.1631294, 0.05233916
0.5981585, 0.6071628, -0.234068, 0.07912937, 0.4845679, -0.1607126, 0.05595291
0.6018215, 0.6058724, -0.2349025, 0.07912937, 0.4837596, -0.1594904, 0.05233916
0.605215, 0.6045791, -0.235734, 0.07661668, 0.4829499, -0.1570175, 0.05233916
0.6083567, 0.6036074, -0.235734, 0.07661668, 0.4825446, -0.1557664, 0.05595291
0.6116831, 0.598071, -0.234068, 0.07401875, 0.4817329, -0.1545051, 0.05595291
0.61505, 0.5934729, -0.23239, 0.07132626, 0.4813265, -0.1532334, 0.05233916
0.6183254, 0.5901666, -0.2306999, 0.06852804, 0.4805128, -0.1519511, 0.05595291
0.6219991, 0.5861744, -0.2298502, 0.07132626, 0.4792896, -0.1506579, 0.05233916
0.6250177, 0.5828267, -0.2298502, 0.06852804, 0.4776538, -0.1493534, 0.05595291
0.6289777, 0.5767518, -0.2255535, 0.06852804, 0.4760123, -0.1480375, 0.05233916
0.6322107, 0.5709552, -0.2211734, 0.06852804, 0.4743652, -0.1480375, 0.05595291
0.6353036, 0.5671728, -0.2176059, 0.06852804, 0.4731261, -0.1467098, 0.05595291
0.6383379, 0.5654452, -0.2176059, 0.0656106, 0.4714689, -0.14537, 0.05233916
0.6422359, 0.5650989, -0.2167048, 0.06852804, 0.4702222, -0.14537, 0.05595291
0.6457868, 0.5616257, -0.2158, 0.06255726, 0.468137, -0.14537, 0.05233916
0.6491703, 0.5598809, -0.2167048, 0.0656106, 0.466462, -0.1440177, 0.05233916
0.6522977, 0.55778, -0.2158, 0.06255726, 0.4656223, -0.1440177, 0.05233916
0.6559721, 0.5588315, -0.2167048, 0.06255726, 0.4635163, -0.1412742, 0.05233916
0.6590012, 0.5591815, -0.2176059, 0.05934703, 0.4614008, -0.1412742, 0.05233916
0.6623948, 0.5637122, -0.2211734, 0.05934703, 0.4588492, -0.1412742, 0.05233916
0.6654641, 0.5678623, -0.2238118, 0.05934703, 0.4571402, -0.1398823, 0.05233916
0.6688749, 0.5712977, -0.2255535, 0.05934703, 0.4558544, -0.1398823, 0.05595291
0.6722986, 0.5719823, -0.2264194, 0.05595291, 0.4541341, -0.1412742, 0.05233916
0.6753588, 0.5733491, -0.2264194, 0.05934703, 0.4532716, -0.1398823, 0.05233916
0.6790391, 0.5753932, -0.2289973, 0.05595291, 0.4515415, -0.1384764, 0.04845664
0.6825577, 0.5777687, -0.2306999, 0.05595291, 0.450674, -0.1370561, 0.04845664
0.68603, 0.5797972, -0.234068, 0.05233916, 0.4498048, -0.1384764, 0.05233916
0.689266, 0.5791218, -0.2315465, 0.05233916, 0.4493696, -0.1384764, 0.04845664
0.6925849, 0.5787839, -0.2298502, 0.03956468, 0.4484978, -0.1356209, 0.05233916
0.6962191, 0.5794597, -0.2306999, 0.04845664, 0.4476244, -0.1370561, 0.04845664
0.6996248, 0.5801346, -0.2306999, 0.04845664, 0.4471871, -0.1356209, 0.05233916
0.7030085, 0.6074851, -0.2470816, 0.04845664, 0.4458725, -0.1341704, 0.05233916
0.7063314, 0.6296288, -0.261696, 0.05233916, 0.4454334, -0.1341704, 0.04845664
0.7097747, 0.6489125, -0.2741124, 0.05595291, 0.4445539, -0.1341704, 0.04845664
0.7131071, 0.6749268, -0.2900664, 0.05934703, 0.4423477, -0.132704, 0.05233916
0.7161184, 0.697174, -0.3039024, 0.06255726, 0.4405747, -0.132704, 0.04845664
0.7193191, 0.7160051, -0.315899, 0.06255726, 0.4392403, -0.1312212, 0.05233916
0.7228005, 0.7316842, -0.3238513, 0.05934703, 0.4374548, -0.132704, 0.04845664
