time, HeadPitch, HeadYaw, HeadRoll, BodyPitch, BodyYaw, BodyRoll
0.5624857, 0, 0, 0, 0, 0, 0
0.5674645, 0.3000144, 0.7423044, 0.05233916, 0.07661668, 0, 0.0656106
0.57291, 0.5381398, 1.346393, 0.1203313, 0.1356209, 0, 0.0656106
0.5782005, 0.7214502, 1.847268, 0.1701742, 0.1823843, 0, 0.0656106
0.5834925, 0.8717791, 2.270555, 0.2130625, 0.220287, 0, 0.0656106
0.5893061, 0.9909081, 2.630911, 0.2517883, 0.2454926, 0, 0.0656106
0.5941168, 1.083359, 2.926968, 0.2853053, 0.2639296, 0.01978234, 0.0656106
0.5978555, 1.159272, 3.178846, 0.3127867, 0.2790645, 0.01978234, 0.0656106
0.6016655, 1.225571, 3.387378, 0.339197, 0.2880355, 0.02797646, 0.06255726
0.6057379, 1.281, 3.570016, 0.360452, 0.2947506, 0.03426402, 0.06255726
0.6095207, 1.327659, 3.731506, 0.3794918, 0.3006659, 0.03956468, 0.06255726
0.613524, 1.366017, 3.870396, 0.3936644, 0.302612, 0.03956468, 0.06255726
0.6190539, 1.401792, 3.996108, 0.4039677, 0.3032579, 0.04423466, 0.05934703
0.6228519, 1.432585, 4.110993, 0.414487, 0.3039024, 0.04845664, 0.05934703
0.6272024, 1.471666, 4.212683, 0.4265846, 0.3064671, 0.04845664, 0.05595291
0.6319067, 1.506232, 4.311389, 0.4383485, 0.3083766, 0.05233916, 0.05233916
0.6369552, 1.54015, 4.394984, 0.4493696, 0.311533, 0.05233916, 0.05233916
0.6407264, 1.56985, 4.475009, 0.4592754, 0.3134116, 0.05233916, 0.05233916
0.6459976, 1.594587, 4.541613, 0.4685547, 0.3165179, 0.05934703, 0.05233916
0.6506961, 1.617494, 4.610784, 0.4776538, 0.3189811, 0.05595291, 0.04845664
0.6557692, 1.633986, 4.660435, 0.4861804, 0.3214254, 0.05934703, 0.04845664
0.6608622, 1.64687, 4.695568, 0.4941643, 0.3274564, 0.05934703, 0.04423466
0.665503, 1.659772, 4.736731, 0.5024107, 0.332791, 0.05934703, 0.04423466
0.6702564, 1.668239, 4.75971, 0.5089886, 0.3357179, 0.0656106, 0.03956468
0.6754142, 1.677831, 4.791337, 0.5158621, 0.3386196, 0.0656106, 0.03956468
0.6802075, 1.68249, 4.802894, 0.5211454, 0.3397734, 0.06852804, 0.03956468
0.6854633, 1.684815, 4.799712, 0.5241405, 0.3449174, 0.06852804, 0.03956468
0.6900749, 1.688875, 4.807053, 0.5278606, 0.3483046, 0.06852804, 0.03426402
0.6950557, 1.689107, 4.794608, 0.5308178, 0.3544303, 0.06852804, 0.03426402
0.699725, 1.691191, 4.793014, 0.5341251, 0.3599087, 0.06852804, 0.02797646
0.7049867, 1.678647, 4.77081, 0.5315546, 0.3658403, 0.06852804, 0.03426402
0.7098572, 1.659654, 4.730937, 0.5256317, 0.3727285, 0.0656106, 0.02797646
0.7145343, 1.645205, 4.704487, 0.5222706, 0.3784592, 0.06852804, 0
0.7184598, 1.623412, 4.659931, 0.518133, 0.3830841, 0.0656106, 0
0.7236395, 1.606081, 4.628932, 0.5151029, 0.386643, 0.0656106, 0.01978234
0.7285096, 1.585726, 4.585992, 0.5147229, 0.3916712, 0.0656106, 0.01978234
0.7339601, 1.569351, 4.555308, 0.5151029, 0.3951527, 0.06255726, 0.01978234
0.7387629, 1.551795, 4.507412, 0.5154827, 0.3990945, 0.06255726, 0.01978234
0.7431871, 1.537352, 4.470893, 0.5166202, 0.4010509, 0.05595291, 0.01978234
0.7476511, 1.517364, 4.420889, 0.5166202, 0.4020255, 0.05595291, 0.01978234
0.7531151, 1.501156, 4.366729, 0.5169988, 0.4010509, 0.05233916, 0.02797646
0.7570517, 1.487669, 4.323546, 0.5177552, 0.4000739, 0.05233916, 0.02797646
0.7620298, 1.477505, 4.279426, 0.518133, 0.3976209, 0.05595291, 0.02797646
0.7668537, 1.468737, 4.244271, 0.5188877, 0.3956476, 0.05233916, 0.03426402
0.7717717, 1.464601, 4.20724, 0.518133, 0.3946573, 0.04845664, 0.03956468
0.7763018, 1.463532, 4.172135, 0.5162413, 0.3901695, 0.04423466, 0.04423466
0.7815505, 1.46206, 4.143686, 0.5147229, 0.386643, 0.04423466, 0.05233916
0.7863128, 1.467138, 4.114184, 0.509757, 0.3774237, 0.04423466, 0.05595291
0.7913481, 1.471134, 4.090075, 0.5059038, 0.3711503, 0.03426402, 0.05934703
0.79505, 1.475782, 4.063221, 0.4988932, 0.3636945, 0.03956468, 0.06852804
0.7993817, 1.479094, 4.040893, 0.4929749, 0.3577275, 0.03426402, 0.06852804
0.8039334, 1.481869, 4.020536, 0.4861804, 0.3494264, 0.03426402, 0.07912937
0.8082575, 1.483849, 4.003501, 0.4813265, 0.3432113, 0.02797646, 0.08392937
0.812568, 1.485431, 3.987228, 0.4760123, 0.3339648, 0.01978234, 0.09065409
0.8181042, 1.48464, 3.970544, 0.4710537, 0.3214254, 0.01978234, 0.09487279
0.8229119, 1.484113, 3.956611, 0.466462, 0.3109043, 0, 0.1008706
0.8271405, 1.483057, 3.94546, 0.463094, 0.2987072, 0, 0.1027921
