time, HeadPitch, HeadYaw, HeadRoll, BodyPitch, BodyYaw, BodyRoll
0.4471978, 0, 0, 0, 0, 0, 0
0.4506668, 0.1384764, 0.03956468, 0.07912937, 0.1046783, 0.1582588, -0.03956468
0.4547632, 0.25101, 0.04845664, 0.08156469, 0.1876719, 0.1356209, -0.05233916
0.4588283, 0.3397734, 0.05595291, 0.08392937, 0.254109, 0.1186941, -0.05934703
0.4621358, 0.4111691, 0.05934703, 0.08622923, 0.3077414, 0.1065312, -0.07132626
0.4654338, 0.4689721, 0.0656106, 0.09065409, 0.3499859, 0.09691329, -0.07912937
0.4691857, 0.5154827, 0.07132626, 0.09065409, 0.3835945, 0.08846933, -0.08392937
0.4731854, 0.5528469, 0.07661668, 0.09278741, 0.410693, 0.08156469, -0.09065409
0.4765442, 0.5831623, 0.07661668, 0.09278741, 0.4302385, 0.07661668, -0.09278741
0.4807128, 0.6074851, 0.07661668, 0.09278741, 0.4463111, 0.07132626, -0.09487279
0.4845016, 0.6283845, 0.08156469, 0.09065409, 0.4597013, 0.06852804, -0.09891172
0.4879566, 0.644677, 0.07912937, 0.09065409, 0.4698059, 0.06255726, -0.1008706
0.4913692, 0.6474031, 0.08156469, 0.08392937, 0.4756011, 0.05934703, -0.1027921
0.4953664, 0.6489125, 0.08156469, 0.07912937, 0.4805128, 0.05934703, -0.1046783
0.4990427, 0.6546168, 0.07912937, 0.07661668, 0.4845679, 0.05934703, -0.1046783
0.5025493, 0.6587883, 0.07661668, 0.07132626, 0.4881886, 0.05595291, -0.1065312
0.5060033, 0.6617518, 0.07661668, 0.07132626, 0.4909863, 0.05595291, -0.1065312
0.5101088, 0.6561096, 0.07661668, 0.0656106, 0.4913847, 0.05595291, -0.1065312
0.513441, 0.651921, 0.07661668, 0.0656106, 0.4921804, 0.05595291, -0.1065312
0.5173077, 0.6573014, 0.07912937, 0.06852804, 0.4929749, 0.05595291, -0.1083524
0.5210788, 0.6620474, 0.08392937, 0.06852804, 0.4941643, 0.05233916, -0.1119058
0.5250182, 0.6564078, 0.07912937, 0.06255726, 0.4953507, 0.05595291, -0.1119058
0.5283901, 0.6513204, 0.07401875, 0.05595291, 0.4961402, 0.04845664, -0.1119058
0.5318896, 0.6443735, 0.07401875, 0.04845664, 0.4941643, 0.05233916, -0.1136409
0.5357253, 0.6382713, 0.06852804, 0.04423466, 0.4929749, 0.05233916, -0.1136409
0.5396552, 0.6333472, 0.06852804, 0.03956468, 0.4925778, 0.05233916, -0.1153499
0.5430152, 0.6274496, 0.0656106, 0.03426402, 0.4917827, 0.05233916, -0.1153499
0.5464097, 0.6230683, 0.06255726, 0.03956468, 0.4921804, 0.05595291, -0.1153499
0.5508337, 0.6183397, 0.06255726, 0.02797646, 0.4925778, 0.05233916, -0.1153499
