Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Down,1,-48.40788,(0.17* 0.06* 0.98),(-0.07* 0.76* 0.64),9.702007,(0.13* 0.99* 0.09),(0.10* 0.99* -0.08),(356.54* 10.08* 194.11)
Down,2,-48.50465,(0.16* 0.11* 0.98),(-0.09* 0.79* 0.60),2.246899,(0.09* 0.99* -0.06),(0.08* 0.99* -0.10),(356.54* 10.08* 194.11)
Down,3,-52.46167,(0.16* 0.12* 0.98),(-0.11* 0.83* 0.54),2.651735,(0.09* 0.99* -0.06),(0.08* 0.99* -0.10),(356.54* 10.08* 194.11)
Right,1,-58.75441,(0.17* 0.09* 0.98),(-0.72* -0.18* 0.67),6.403339,(0.13* 0.99* 0.09),(0.20* 0.98* 0.01),(356.54* 10.08* 194.11)
Right,2,-75.6039,(0.14* 0.05* 0.99),(-0.90* -0.22* 0.39),13.74512,(0.07* 1.00* 0.05),(0.30* 0.95* 0.00),(356.54* 10.08* 194.11)
Right,3,-1.205447,(0.13* 0.05* 0.99),(0.12* 0.03* 0.99),-5.868922,(0.07* 1.00* -0.04),(0.13* 0.99* 0.04),(356.54* 10.08* 194.11)
Up,1,40.2079,(0.13* 0.07* 0.99),(0.29* -0.56* 0.78),1.613861,(0.13* 0.99* 0.10),(0.12* 0.99* 0.07),(356.54* 10.08* 194.11)
Up,2,0.9650977,(0.17* 0.01* 0.99),(0.18* 0.01* 0.98),0.8715547,(0.13* 0.99* 0.08),(0.12* 0.99* 0.07),(356.54* 10.08* 194.11)
Up,3,31.40135,(0.18* 0.03* 0.98),(0.28* -0.48* 0.83),-1.355952,(0.12* 0.99* 0.08),(0.12* 0.99* 0.10),(356.54* 10.08* 194.11)
Left,1,54.77216,(0.19* -0.01* 0.98),(0.88* 0.23* 0.42),-11.19524,(0.14* 0.98* 0.11),(-0.04* 1.00* 0.03),(356.54* 10.08* 194.11)
Left,2,55.7709,(0.21* 0.07* 0.98),(0.90* 0.24* 0.37),-9.483382,(0.14* 0.99* 0.08),(-0.02* 1.00* 0.04),(356.54* 10.08* 194.11)
Left,3,54.79969,(0.17* 0.05* 0.98),(0.88* 0.24* 0.42),-8.767237,(0.14* 0.99* 0.10),(0.00* 1.00* 0.05),(356.54* 10.08* 194.11)
