Direction,tCount,Time,HeadPitch,HeadYaw,HeadRoll,BodyPitch,BodyYaw,BodyRoll
Down,1,3.101566,0.3316129,0.02797646,0,0.5507192,0.06255726,-0.04845664
Down,1,3.175829,0.3685048,0.01978234,0,0.5898349,0.07132626,-0.05233916
Down,1,3.211572,0.3916712,0.02797646,0,0.6081289,0.07661668,-0.05595291
Down,1,3.240374,0.4173099,0.02797646,0,0.6189722,0.07661668,-0.05595291
Down,1,3.267153,0.4414621,0.01978234,0,0.6258884,0.07912937,-0.05233916
Down,1,3.294441,0.4743652,0.01978234,0,0.6252628,0.07661668,-0.05595291
Down,1,3.316269,0.4969283,0.01978234,0,0.618656,0.07661668,-0.05595291
Down,1,3.344363,0.5112901,0.01978234,0,0.6103771,0.07661668,-0.05595291
Down,1,3.373071,0.5233933,0.01978234,0,0.6003569,0.07661668,-0.05233916
Down,1,3.401125,0.5267473,0.02797646,0,0.5924829,0.07401875,-0.04845664
Down,1,3.428045,0.5260038,0.03426402,0,0.583833,0.07401875,-0.04845664
Down,1,3.461386,0.5297108,0.03426402,0.01978234,0.5760729,0.07401875,-0.04845664
Down,1,3.483633,0.5293413,0.03426402,0,0.5709552,0.07132626,-0.04423466
Down,1,3.510831,0.5399548,0.02797646,0.01978234,0.5678623,0.07132626,-0.03956468
Down,1,3.538387,0.5366834,0.03426402,0,0.5637122,0.06852804,-0.03956468
Down,1,3.566676,0.5252593,0.03426402,0.01978234,0.5584812,0.06852804,-0.04423466
Down,1,3.594521,0.5169988,0.03956468,0,0.5489398,0.06255726,-0.03956468
Down,1,3.629013,0.5004597,0.03956468,0.01978234,0.5395923,0.05934703,-0.03426402
Down,1,3.650781,0.4853748,0.03956468,0.01978234,0.5289715,0.05233916,-0.03426402
Down,1,3.679101,0.4809199,0.03956468,0.01978234,0.5192646,0.04845664,-0.02797646
Down,1,3.706829,0.4776538,0.04423466,0.01978234,0.5101407,0.05233916,-0.01978234
Down,1,3.734813,0.4784724,0.04423466,0.01978234,0.5020211,0.05233916,-0.01978234
Down,1,3.761422,0.4780633,0.03956468,0,0.4969283,0.05233916,-0.01978234
Down,1,3.795664,0.4784724,0.03426402,0,0.4933717,0.05595291,-0.01978234
Down,1,3.818427,0.4796977,0.03426402,0,0.4905876,0.05934703,-0.01978234
Down,1,3.846006,0.4792896,0.03426402,0.01978234,0.4869847,0.06255726,-0.01978234
Down,1,3.873228,0.4768338,0.02797646,0,0.4833549,0.06255726,-0.01978234
Down,1,3.901069,0.4639383,0.03426402,0,0.4780633,0.0656106,-0.01978234
Down,1,3.928666,0.4677188,0.01978234,0,0.4731261,0.06852804,0
Down,1,3.962681,0.4698059,0.02797646,0,0.4622481,0.07132626,-0.01978234
Down,1,3.984601,0.4668813,0.01978234,0.01978234,0.4519747,0.07401875,-0.01978234
Down,1,4.013101,0.4652019,0.01978234,0,0.4410186,0.07912937,-0.01978234
Down,1,4.039892,0.4635163,0.02797646,0,0.4338616,0.08156469,-0.01978234
Down,1,4.067557,0.4288719,0.02797646,0.01978234,0.4279585,0.08156469,-0.02797646
Down,1,4.095671,0.3841043,0.02797646,0,0.4265846,0.08392937,-0.01978234
Down,1,4.129806,0.332791,0.02797646,0,0.4233615,0.08622923,-0.02797646
Down,1,4.151656,0.3039024,0.02797646,0,0.4191812,0.08846933,-0.03426402
Down,1,4.178796,0.2264194,0.02797646,0,0.4149588,0.09065409,-0.02797646
Down,1,4.206562,0.1412742,0.02797646,0,0.4135417,0.09487279,-0.03426402
Down,1,4.235303,0.03956468,0,0,0.4154301,0.09891172,-0.03426402
Down,1,4.262699,-0.06255726,0.01978234,0,0.4177785,0.1065312,-0.03956468
Down,1,4.297441,-0.1532334,0,0,0.4205793,0.1083524,-0.03956468
Down,1,4.31847,-0.2571706,0,0,0.4215088,0.1065312,-0.03426402
Down,1,4.345811,-0.3886621,0,0.01978234,0.4191812,0.1046783,-0.03426402
Down,1,4.374041,-0.508604,0,0.02797646,0.4187142,0.1027921,-0.03956468
Down,1,4.40152,-0.614212,0,0.03426402,0.4177785,0.1008706,-0.03426402
Down,1,4.429535,-0.7069291,0,0.02797646,0.4159008,0.09891172,-0.03426402
Down,1,4.463319,-0.8285072,-0.01978234,0.02797646,0.414487,0.09891172,-0.03426402
Down,1,4.485023,-0.9966185,0,0.03956468,0.410693,0.1008706,-0.02797646
Down,1,4.51361,-1.165836,0,0.05595291,0.4083038,0.1027921,-0.02797646
Down,1,4.54098,-1.330898,0,0.0656106,0.4068635,0.1027921,-0.02797646
Down,1,4.569496,-1.475119,-0.01978234,0.0656106,0.4068635,0.1046783,-0.02797646
Down,1,4.599237,-1.61955,-0.02797646,0.05934703,0.4068635,0.1027921,-0.02797646
Down,1,4.630498,-1.814883,-0.01978234,0.05233916,0.4073442,0.1046783,-0.01978234
Down,1,4.650817,-2.053189,0,0.03956468,0.410693,0.09891172,-0.01978234
Down,1,4.67839,-2.231515,0,0.01978234,0.4154301,0.09891172,-0.01978234
Down,1,4.706808,-2.432767,0,0,0.4205793,0.09487279,-0.01978234
Down,1,4.734387,-2.686787,0.03426402,-0.01978234,0.4288719,0.09487279,-0.01978234
Down,1,4.762271,-2.923489,0.06255726,-0.02797646,0.4515415,0.08846933,0
Down,1,4.797072,-3.162298,0.1027921,-0.03956468,0.4739525,0.08156469,0
Down,1,4.818655,-3.356664,0.1153499,-0.05595291,0.4957456,0.07401875,-0.01978234
Down,1,4.846402,-3.598422,0.1532334,-0.04423466,0.5230194,0.0656106,0
Down,1,4.874382,-3.822491,0.1907741,-0.04423466,0.5588315,0.06255726,-0.01978234
Down,1,4.901781,-4.009709,0.2148914,-0.03956468,0.6065179,0.05934703,0
Down,1,4.929822,-4.130953,0.1958353,-0.05934703,0.6731851,0.05233916,0
Down,1,4.964682,-4.246347,0.1607126,-0.07661668,0.7504317,0.04845664,0
Down,1,4.985639,-4.406112,0.1341704,-0.09487279,0.8434873,0.04845664,0
Down,1,5.013513,-4.612356,0.14537,-0.09278741,0.9555206,0.03956468,0
Down,1,5.040914,-4.831443,0.14537,-0.09278741,1.082817,0.01978234,0
Down,1,5.068336,-5.0952,0.1532334,-0.09487279,1.218365,0,0
Down,1,5.095989,-5.338802,0.1594904,-0.09691329,1.376435,0,0
Down,1,5.130294,-5.583495,0.1607126,-0.09891172,1.537097,-0.03426402,0.01978234
