time, HeadPitch, HeadYaw, HeadRoll, BodyPitch, BodyYaw, BodyRoll
0.4056609, 0, 0, 0, 0, 0, 0
0.408959, 0.1235407, 0, 0, 0.1938267, 0, 0
0.4120902, 0.2220564, 0, 0, 0.3511023, -0.01978234, 0
0.4148168, 0.3006659, 0, 0, 0.477244, -0.01978234, -0.01978234
0.4182712, 0.3658403, 0, 0, 0.5811456, -0.03426402, -0.01978234
0.421339, 0.4177785, 0, 0, 0.6649964, -0.04845664, -0.02797646
0.4244819, 0.4605518, 0, 0, 0.7335538, -0.05595291, -0.02797646
0.4273157, 0.4949555, 0, 0.01978234, 0.7893192, -0.06852804, -0.03426402
0.4302537, 0.5222706, 0, 0, 0.8343908, -0.07401875, -0.02797646
0.4338584, 0.5442861, 0, 0, 0.8746923, -0.07912937, -0.03426402
0.4366801, 0.5612772, 0, 0, 0.9076288, -0.08392937, -0.03426402
0.4396863, 0.5753932, 0, 0, 0.9346082, -0.09065409, -0.03426402
0.4428577, 0.5885065, 0, 0, 0.9443973, -0.07132626, -0.02797646
0.4460218, 0.5993783, 0, 0, 0.9524438, -0.05233916, -0.01978234
0.4489381, 0.607807, 0, 0, 0.9591998, -0.04423466, -0.01978234
0.4519378, 0.615167, 0, 0, 0.9751828, -0.03956468, -0.02797646
0.4549362, 0.6211812, 0, 0, 0.9885356, -0.03956468, -0.02797646
0.4585872, 0.6249498, 0, 0, 0.9916978, -0.01978234, -0.01978234
0.4614575, 0.628073, 0, 0, 0.9944565, 0, 0
0.4642337, 0.63025, -0.01978234, 0, 0.9970112, 0, 0
0.4671873, 0.6318005, 0, 0, 0.9958329, 0.01978234, 0
0.4704835, 0.6327289, 0, -0.01978234, 0.9950465, 0.03956468, 0
0.4733555, 0.633656, 0, 0, 0.9950465, 0.05233916, 0
0.4763001, 0.6339648, 0, -0.01978234, 0.9950465, 0.06852804, 0
0.4793395, 0.6345818, 0, -0.01978234, 0.9954398, 0.07912937, 0
0.4821696, 0.6345818, 0, -0.01978234, 0.9960293, 0.09065409, 0
0.4855711, 0.6327289, -0.01978234, -0.01978234, 0.9975998, 0.1008706, 0
0.488476, 0.6308707, -0.01978234, -0.01978234, 0.9991678, 0.1101434, 0.01978234
0.4912531, 0.6283845, -0.01978234, -0.02797646, 1.016641, 0.09691329, 0
0.4940269, 0.6265134, 0, -0.02797646, 1.031165, 0.08622923, 0
0.4976223, 0.6249498, 0, -0.02797646, 1.04399, 0.07661668, 0
0.5011368, 0.6230683, -0.02797646, -0.02797646, 1.0622, 0.05934703, 0
0.5040473, 0.6208661, -0.02797646, -0.03426402, 1.077563, 0.04845664, 0
0.507075, 0.6189722, -0.02797646, -0.02797646, 1.090919, 0.03956468, 0
0.5104604, 0.6180231, -0.02797646, -0.02797646, 1.095751, 0.04845664, 0
0.5135217, 0.6170725, -0.02797646, -0.03956468, 1.100385, 0.05233916, 0
0.5166759, 0.6129363, -0.02797646, -0.02797646, 1.113115, 0.05233916, -0.01978234
0.5197563, 0.6100564, 0, -0.03956468, 1.12431, 0.04423466, -0.01978234
0.5234453, 0.6074851, -0.02797646, -0.03956468, 1.134532, 0.03956468, -0.02797646
0.5264867, 0.605226, -0.03426402, -0.03426402, 1.135222, 0.05595291, -0.01978234
0.5293852, 0.6032831, -0.03426402, -0.03956468, 1.1366, 0.0656106, -0.01978234
0.5322127, 0.6016592, -0.03426402, -0.03426402, 1.138148, 0.07132626, -0.01978234
