time,turnedAngle,pitchAngle,yawAngle
 
190593,0,0,0
1905926,0,0,0
1905928,0,0,0
1905931,0,0,0
1905933,0,0,0
1905936,0,0,0
1905939,0,0,0
1905941,0,0,0
1905944,0,0,0
1905946,0,0,0
1905949,0,0,0
1905951,0,0,0
1905954,0,0,0
1905957,0,0,0
1905959,0,0,0
1905963,0,0,0
1905965,0,0,0
1905968,0,0,0
1905970,0,0,0
1905973,0,0,0
1905976,0,0,0
1905978,0,0,0
1905981,0,0,0
1905983,0,0,0
1905986,0,0,0
1905989,0,0,0
1905991,0,0,0
1905994,0,0,0
1905996,0,0,0
1905999,0,0,0
1906001,0,0,0
1906004,0,0,0
1906008,0,0,0
1906010,0,0,0
1906013,0,0,0
1906015,0,0,0
1906018,0,0,0
1906020,0,0,0
1906023,0,0,0
1906026,0,0,0
1906028,0,0,0
1906031,0,0,0
1906033,0,0,0
1906036,0,0,0
1906038,0,0,0
1906041,0,0,0
1906044,0,0,0
1906046,0,0,0
1906050,0,0,0
1906052,0,0,0
1906055,0,0,0
1906057,0,0,0
1906060,0,0,0
1906063,0,0,0
1906065,0,0,0
1906068,0,0,0
1906070,0,0,0
1906073,0,0,0
1906075,0,0,0
1906078,0,0,0
1906081,0,0,0
1906083,0,0,0
1906086,0,0,0
1906088,0,0,0
1906092,0,0,0
1906094,0,0,0
1906097,0,0,0
1906100,0,0,0
1906102,0,0,0
1906105,0,0,0
1906107,0,0,0
1906110,0,0,0
1906112,0,0,0
1906115,0,0,0
1906118,0,0,0
1906120,0,0,0
1906123,0,0,0
1906125,0,0,0
1906128,0,0,0
1906130,0,0,0
1906134,0,0,0
1906137,0,0,0
1906139,0,0,0
1906142,0,0,0
1906144,0,0,0
1906147,0,0,0
1906149,0,0,0
1906152,0,0,0
1906155,0,0,0
1906157,0,0,0
1906160,0,0,0
1906162,0,0,0
1906165,0,0,0
1906167,0,0,0
1906170,0,0,0
1906173,0,0,0
1906176,0,0,0
1906179,0,0,0
1906181,0,0,0
1906184,0,0,0
1906186,0,0,0
1906189,0,0,0
1906192,0,0,0
1906194,0,0,0
1906197,0,0,0
1906199,0,0,0
1906202,0,0,0
1906205,0,0,0
1906207,0,0,0
1906210,0,0,0
1906212,0,0,0
1906215,0,0,0
1906217,0,0,0
1906221,0,0,0
1906224,0,0,0
1906226,0,0,0
1906229,0,0,0
1906231,0,0,0
1906234,0,0,0
1906236,0,0,0
1906239,0,0,0
1906242,0,0,0
1906244,0,0,0
1906247,0,0,0
1906249,0,0,0
1906252,0,0,0
1906254,0,0,0
1906257,0,0,0
1906260,0,0,0
1906263,0,0,0
1906266,0,0,0
1906268,0,0,0
1906271,0,0,0
1906273,0,0,0
1906276,0,0,0
1906279,0,0,0
1906281,0,0,0
1906284,0,0,0
1906286,0,0,0
1906289,0,0,0
1906291,0,0,0
1906294,0,0,0
1906297,0,0,0
1906299,0,0,0
1906302,0,0,0
1906305,0,0,0
1906308,0,0,0
1906310,0,0,0
1906313,0,0,0
1906316,0,0,0
1906318,0,0,0
1906321,0,0,0
1906323,0,0,0
1906326,0,0,0
1906328,0,0,0
1906331,0,0,0
1906334,0,0,0
1906336,0,0,0
1906339,0,0,0
1906341,0,0,0
1906344,0,0,0
1906347,0,0,0
1906350,0,0,0
1906353,0,0,0
1906355,0,0,0
1906358,0,0,0
1906360,0,0,0
1906363,0,0,0
1906365,0,0,0
1906368,0,0,0
1906371,0,0,0
1906373,0,0,0
1906376,0,0,0
1906378,0,0,0
1906381,0,0,0
1906383,0,0,0
1906386,0,0,0
1906390,0,0,0
1906392,0,0,0
1906395,0,0,0
1906397,0,0,0
1906400,0,0,0
1906403,0,0,0
1906405,0,0,0
1906408,0,0,0
1906410,0,0,0
1906413,0,0,0
1906415,0,0,0
1906418,0,0,0
1906421,0,0,0
1906423,0,0,0
1906426,0,0,0
1906428,0,0,0
1906432,0,0,0
1906434,0,0,0
1906437,0,0,0
1906440,0,0,0
1906442,0,0,0
1906445,0,0,0
1906447,0,0,0
1906450,0,0,0
1906452,0,0,0
1906455,0,0,0
1906458,0,0,0
1906460,0,0,0
1906463,0,0,0
1906465,0,0,0
1906468,0,0,0
1906470,0,0,0
1906473,0,0,0
1906477,0,0,0
1906479,0,0,0
