time,turnedAngle,pitchAngle,yawAngle
,0,0,0
53430050,0,0,0
53430053,0,0,0
53430056,0,0,0
53430059,0,0,0
53430062,0,0,0
53430065,0,0,0
53430067,0,0,0
53430070,0,0,0
53430073,0,0,0
53430075,0,0,0
53430078,0,0,0
53430081,0,0,0
53430083,0,0,0
53430086,0,0,0
53430089,0,0,0
53430091,0,0,0
53430094,0,0,0
53430097,0,0,0
53430099,0,0,0
53430103,0,0,0
53430106,0,0,0
53430108,0,0,0
53430111,0,0,0
53430114,0,0,0
53430116,0,0,0
53430119,0,0,0
53430122,0,0,0
53430124,0,0,0
53430127,0,0,0
53430129,0,0,0
53430132,0,0,0
53430135,0,0,0
53430137,0,0,0
53430140,0,0,0
53430144,0,0,0
53430146,0,0,0
53430149,0,0,0
53430152,0,0,0
53430154,0,0,0
53430157,0,0,0
53430160,0,0,0
53430162,0,0,0
53430165,0,0,0
53430168,0,0,0
53430170,0,0,0
53430173,0,0,0
53430176,0,0,0
53430178,0,0,0
53430181,0,0,0
53430184,0,0,0
53430187,0,0,0
53430190,0,0,0
53430193,0,0,0
53430195,0,0,0
53430198,0,0,0
53430201,0,0,0
53430203,0,0,0
53430206,0,0,0
53430209,0,0,0
53430211,0,0,0
53430214,0,0,0
53430216,0,0,0
53430219,0,0,0
53430222,0,0,0
53430224,0,0,0
53430227,0,0,0
53430231,0,0,0
53430233,0,0,0
53430236,0,0,0
53430239,0,0,0
53430241,0,0,0
53430244,0,0,0
53430247,0,0,0
53430249,0,0,0
53430252,0,0,0
53430255,0,0,0
53430257,0,0,0
53430260,0,0,0
53430263,0,0,0
53430265,0,0,0
53430268,0,0,0
53430272,0,0,0
53430274,0,0,0
53430277,0,0,0
53430280,0,0,0
53430282,0,0,0
53430285,0,0,0
53430288,0,0,0
53430290,0,0,0
53430293,0,0,0
53430296,0,0,0
53430298,0,0,0
53430301,0,0,0
53430303,0,0,0
53430306,0,0,0
53430309,0,0,0
53430311,0,0,0
53430315,0,0,0
53430318,0,0,0
53430320,0,0,0
53430323,0,0,0
53430326,0,0,0
53430328,0,0,0
53430331,0,0,0
53430334,0,0,0
53430336,0,0,0
53430339,0,0,0
53430342,0,0,0
53430344,0,0,0
53430347,0,0,0
53430350,0,0,0
53430352,0,0,0
53430355,0,0,0
53430359,0,0,0
53430361,0,0,0
53430364,0,0,0
53430367,0,0,0
53430369,0,0,0
53430372,0,0,0
53430375,0,0,0
53430377,0,0,0
53430380,0,0,0
53430383,0,0,0
53430385,0,0,0
53430388,0,0,0
53430390,0,0,0
53430393,0,0,0
53430396,0,0,0
53430398,0,0,0
53430402,0,0,0
53430405,0,0,0
53430407,0,0,0
53430410,0,0,0
53430413,0,0,0
53430415,0,0,0
53430418,0,0,0
53430421,0,0,0
53430423,0,0,0
53430426,0,0,0
53430429,0,0,0
53430431,0,0,0
53430434,0,0,0
53430437,0,0,0
53430439,0,0,0
53430443,0,0,0
53430446,0,0,0
53430448,0,0,0
53430451,0,0,0
53430454,0,0,0
53430456,0,0,0
53430459,0,0,0
53430462,0,0,0
53430464,0,0,0
53430467,0,0,0
53430470,0,0,0
53430472,0,0,0
53430475,0,0,0
53430477,0,0,0
53430480,0,0,0
53430483,0,0,0
53430486,0,0,0
53430489,0,0,0
53430492,0,0,0
53430494,0,0,0
53430497,0,0,0
53430500,0,0,0
53430502,0,0,0
53430505,0,0,0
53430508,0,0,0
53430510,0,0,0
53430513,0,0,0
53430516,0,0,0
53430518,0,0,0
53430521,0,0,0
53430524,0,0,0
53430526,0,0,0
53430530,0,0,0
53430533,0,0,0
53430535,0,0,0
53430538,0,0,0
53430541,0,0,0
53430543,0,0,0
53430546,0,0,0
53430549,0,0,0
53430551,0,0,0
53430554,0,0,0
53430557,0,0,0
53430559,0,0,0
53430562,0,0,0
53430564,0,0,0
53430567,0,0,0
53430571,0,0,0
53430573,0,0,0
53430576,0,0,0
53430579,0,0,0
53430581,0,0,0
53430584,0,0,0
53430587,0,0,0
53430589,0,0,0
53430592,0,0,0
53430595,0,0,0
53430597,0,0,0
53430600,0,0,0
53430603,0,0,0
53430605,0,0,0
53430608,0,0,0
53430611,0,0,0
53430614,0,0,0
53430617,0,0,0
53430620,0,0,0
53430622,0,0,0
53430625,0,0,0
53430628,0,0,0
53430630,0,0,0
53430633,0,0,0
53430636,0,0,0
53430638,0,0,0
53430641,0,0,0
53430644,0,0,0
53430646,0,0,0
53430649,0,0,0
53430651,0,0,0
53430654,0,0,0
53430658,0,0,0
53430660,0,0,0
53430663,0,0,0
53430666,0,0,0
53430668,0,0,0
53430671,0,0,0
53430674,0,0,0
53430676,0,0,0
53430679,0,0,0
53430682,0,0,0
53430684,0,0,0
53430687,0,0,0
53430690,0,0,0
53430692,0,0,0
53430695,0,0,0
53430699,0,0,0
53430701,0,0,0
53430704,0,0,0
53430707,0,0,0
53430709,0,0,0
53430712,0,0,0
53430715,0,0,0
53430717,0,0,0
53430720,0,0,0
53430723,0,0,0
53430725,0,0,0
53430728,0,0,0
53430731,0,0,0
53430733,0,0,0
53430736,0,0,0
53430738,0,0,0
53430742,0,0,0
53430745,0,0,0
53430747,0,0,0
53430750,0,0,0
53430753,0,0,0
53430755,0,0,0
53430758,0,0,0
53430761,0,0,0
53430763,0,0,0
53430766,0,0,0
53430769,0,0,0
53430771,0,0,0
53430774,0,0,0
53430777,0,0,0
53430779,0,0,0
53430782,0,0,0
53430786,0,0,0
53430788,0,0,0
53430791,0,0,0
53430794,0,0,0
53430796,0,0,0
53430799,0,0,0
53430802,0,0,0
53430804,0,0,0
53430807,0,0,0
53430810,0,0,0
53430812,0,0,0
53430815,0,0,0
53430818,0,0,0
53430820,0,0,0
53430823,0,0,0
53430825,0,0,0
53430829,0,0,0
53430832,0,0,0
53430834,0,0,0
53430837,0,0,0
53430840,0,0,0
53430842,0,0,0
53430845,0,0,0
53430848,0,0,0
53430850,0,0,0
53430853,0,0,0
53430856,0,0,0
53430858,0,0,0
53430861,0,0,0
53430864,0,0,0
53430866,0,0,0
53430870,0,0,0
53430873,0,0,0
53430875,0,0,0
53430878,0,0,0
53430881,0,0,0
53430883,0,0,0
53430886,0,0,0
53430889,0,0,0
53430891,0,0,0
53430894,0,0,0
53430897,0,0,0
53430899,0,0,0
53430902,0,0,0
53430905,0,0,0
53430907,0,0,0
53430910,0,0,0
53430913,0,0,0
53430916,0,0,0
53430919,0,0,0
53430921,0,0,0
53430924,0,0,0
53430927,0,0,0
53430929,0,0,0
53430932,0,0,0
53430935,0,0,0
53430937,0,0,0
53430940,0,0,0
53430943,0,0,0
53430945,0,0,0
53430948,0,0,0
53430951,0,0,0
53430953,0,0,0
53430957,0,0,0
53430960,0,0,0
53430962,0,0,0
53430965,0,0,0
53430968,0,0,0
53430970,0,0,0
53430973,0,0,0
53430976,0,0,0
53430978,0,0,0
53430981,0,0,0
53430984,0,0,0
53430986,0,0,0
53430989,0,0,0
53430992,0,0,0
53430994,0,0,0
53430998,0,0,0
53431000,0,0,0
53431003,0,0,0
53431006,0,0,0
53431008,0,0,0
53431011,0,0,0
53431014,0,0,0
53431016,0,0,0
53431019,0,0,0
53431022,0,0,0
53431024,0,0,0
53431027,0,0,0
53431030,0,0,0
53431032,0,0,0
53431035,0,0,0
53431038,0,0,0
53431041,0,0,0
53431044,0,0,0
53431047,0,0,0
53431049,0,0,0
53431052,0,0,0
53431055,0,0,0
53431057,0,0,0
53431060,0,0,0
53431063,0,0,0
53431065,0,0,0
53431068,0,0,0
53431071,0,0,0
53431073,0,0,0
53431076,0,0,0
53431079,0,0,0
53431081,0,0,0
53431085,0,0,0
53431087,0,0,0
53431090,0,0,0
53431093,0,0,0
53431095,0,0,0
53431098,0,0,0
53431101,0,0,0
53431103,0,0,0
53431106,0,0,0
53431109,0,0,0
53431111,0,0,0
53431114,0,0,0
53431117,0,0,0
53431119,0,0,0
53431122,0,0,0
53431126,0,0,0
53431128,0,0,0
53431131,0,0,0
53431134,0,0,0
53431136,0,0,0
53431139,0,0,0
53431142,0,0,0
53431144,0,0,0
53431147,0,0,0
53431150,0,0,0
53431152,0,0,0
53431155,0,0,0
53431158,0,0,0
53431160,0,0,0
53431163,0,0,0
53431166,0,0,0
53431169,0,0,0
53431172,0,0,0
53431174,0,0,0
53431177,0,0,0
53431180,0,0,0
53431182,0,0,0
53431185,0,0,0
53431188,0,0,0
53431190,0,0,0
53431193,0,0,0
53431196,0,0,0
53431198,0,0,0
53431201,0,0,0
53431204,0,0,0
53431206,0,0,0
53431209,0,0,0
53431213,0,0,0
53431215,0,0,0
53431218,0,0,0
53431221,0,0,0
53431223,0,0,0
53431226,0,0,0
53431229,0,0,0
53431231,0,0,0
53431234,0,0,0
53431237,0,0,0
53431239,0,0,0
53431242,0,0,0
53431245,0,0,0
53431247,0,0,0
53431250,0,0,0
53431254,0,0,0
53431256,0,0,0
53431259,0,0,0
53431261,0,0,0
53431264,0,0,0
53431267,0,0,0
53431269,0,0,0
53431272,0,0,0
53431275,0,0,0
53431277,0,0,0
53431280,0,0,0
53431283,0,0,0
53431285,0,0,0
53431288,0,0,0
53431291,0,0,0
53431293,0,0,0
53431297,0,0,0
53431300,0,0,0
53431302,0,0,0
53431305,0,0,0
53431308,0,0,0
53431310,0,0,0
53431313,0,0,0
53431316,0,0,0
53431318,0,0,0
53431321,0,0,0
53431324,0,0,0
53431326,0,0,0
53431329,0,0,0
53431332,0,0,0
53431334,0,0,0
53431337,0,0,0
53431341,0,0,0
53431343,0,0,0
53431346,0,0,0
53431348,0,0,0
53431351,0,0,0
53431354,0,0,0
53431356,0,0,0
53431359,0,0,0
53431362,0,0,0
53431364,0,0,0
53431367,0,0,0
53431370,0,0,0
53431372,0,0,0
53431375,0,0,0
53431378,0,0,0
53431380,0,0,0
53431384,0,0,0
53431387,0,0,0
53431389,0,0,0
53431392,0,0,0
53431395,0,0,0
53431397,0,0,0
53431400,0,0,0
53431403,0,0,0
