time,turnedAngle,pitchAngle,yawAngle
 1776891,0,0,0
1776893,0,0,0
?????776886,0,0,0
1776888,0,0,0
1776891,0,0,0
1776893,0,0,0
??????	???b???b???b???bj
1776899,0,0,0
1776902,0,0,0
1776905,0,0,0
1776907,0,0,0
1776910,0,0,0
1776912,0,0,0
1776915,0,0,0
1776917,0,0,0
1776920,0,0,0
1776923,0,0,0
1776925,0,0,0
1776928,0,0,0
1776930,0,0,0
1776933,0,0,0
1776935,0,0,0
1776939,0,0,0
1776942,0,0,0
1776944,0,0,0
1776947,0,0,0
1776949,0,0,0
1776952,0,0,0
1776954,0,0,0
1776957,0,0,0
1776960,0,0,0
1776962,0,0,0
1776965,0,0,0
1776967,0,0,0
1776970,0,0,0
1776973,0,0,0
1776975,0,0,0
1776978,0,0,0
1776980,0,0,0
1776984,0,0,0
1776986,0,0,0
1776989,0,0,0
1776992,0,0,0
1776994,0,0,0
1776997,0,0,0
1776999,0,0,0
1777002,0,0,0
1777004,0,0,0
1777007,0,0,0
1777010,0,0,0
1777012,0,0,0
1777015,0,0,0
1777017,0,0,0
1777020,0,0,0
1777022,0,0,0
1777026,0,0,0
1777029,0,0,0
1777031,0,0,0
1777034,0,0,0
1777036,0,0,0
1777039,0,0,0
1777041,0,0,0
1777044,0,0,0
1777047,0,0,0
1777049,0,0,0
1777052,0,0,0
1777054,0,0,0
1777057,0,0,0
1777059,0,0,0
1777062,0,0,0
1777065,0,0,0
1777068,0,0,0
1777071,0,0,0
1777073,0,0,0
1777076,0,0,0
1777078,0,0,0
1777081,0,0,0
1777084,0,0,0
1777086,0,0,0
1777089,0,0,0
1777091,0,0,0
1777094,0,0,0
1777096,0,0,0
1777099,0,0,0
1777102,0,0,0
1777104,0,0,0
1777107,0,0,0
1777110,0,0,0
1777113,0,0,0
1777115,0,0,0
1777118,0,0,0
1777121,0,0,0
1777123,0,0,0
1777126,0,0,0
1777128,0,0,0
1777131,0,0,0
1777133,0,0,0
1777136,0,0,0
1777139,0,0,0
1777141,0,0,0
1777144,0,0,0
1777146,0,0,0
1777149,0,0,0
1777152,0,0,0
1777155,0,0,0
1777158,0,0,0
1777160,0,0,0
1777163,0,0,0
1777165,0,0,0
1777168,0,0,0
1777170,0,0,0
1777173,0,0,0
1777176,0,0,0
1777178,0,0,0
1777181,0,0,0
1777183,0,0,0
1777186,0,0,0
1777189,0,0,0
1777191,0,0,0
1777195,0,0,0
1777197,0,0,0
1777200,0,0,0
1777202,0,0,0
1777205,0,0,0
1777208,0,0,0
1777210,0,0,0
1777213,0,0,0
1777215,0,0,0
1777218,0,0,0
1777220,0,0,0
1777223,0,0,0
1777226,0,0,0
1777228,0,0,0
1777231,0,0,0
1777233,0,0,0
1777236,0,0,0
1777239,0,0,0
1777242,0,0,0
1777245,0,0,0
1777247,0,0,0
1777250,0,0,0
1777252,0,0,0
1777255,0,0,0
1777257,0,0,0
1777260,0,0,0
1777263,0,0,0
1777265,0,0,0
1777268,0,0,0
1777270,0,0,0
1777273,0,0,0
1777275,0,0,0
1777278,0,0,0
1777282,0,0,0
1777284,0,0,0
1777287,0,0,0
1777289,0,0,0
1777292,0,0,0
1777294,0,0,0
1777297,0,0,0
1777300,0,0,0
1777302,0,0,0
1777305,0,0,0
1777307,0,0,0
1777310,0,0,0
1777312,0,0,0
1777315,0,0,0
1777318,0,0,0
1777320,0,0,0
1777324,0,0,0
1777326,0,0,0
1777329,0,0,0
1777331,0,0,0
1777334,0,0,0
1777337,0,0,0
1777339,0,0,0
1777342,0,0,0
1777344,0,0,0
1777347,0,0,0
1777349,0,0,0
1777352,0,0,0
1777355,0,0,0
1777357,0,0,0
1777360,0,0,0
1777362,0,0,0
1777366,0,0,0
1777368,0,0,0
1777371,0,0,0
1777374,0,0,0
1777376,0,0,0
1777379,0,0,0
1777381,0,0,0
1777384,0,0,0
1777387,0,0,0
1777389,0,0,0
1777392,0,0,0
1777394,0,0,0
1777397,0,0,0
1777399,0,0,0
1777402,0,0,0
1777405,0,0,0
1777408,0,0,0
1777411,0,0,0
1777413,0,0,0
1777416,0,0,0
1777418,0,0,0
1777421,0,0,0
1777424,0,0,0
1777426,0,0,0
1777429,0,0,0
1777431,0,0,0
1777434,0,0,0
1777436,0,0,0
1777439,0,0,0
1777442,0,0,0
1777444,0,0,0
1777447,0,0,0
1777449,0,0,0
1777453,0,0,0
1777455,0,0,0
1777458,0,0,0
1777461,0,0,0
1777463,0,0,0
1777466,0,0,0
1777468,0,0,0
1777471,0,0,0
1777473,0,0,0
1777476,0,0,0
1777479,0,0,0
1777481,0,0,0
1777484,0,0,0
1777486,0,0,0
1777489,0,0,0
1777491,0,0,0
1777495,0,0,0
1777498,0,0,0
1777500,0,0,0
1777503,0,0,0
1777505,0,0,0
1777508,0,0,0
1777510,0,0,0
1777513,0,0,0
1777516,0,0,0
1777518,0,0,0
1777521,0,0,0
1777523,0,0,0
1777526,0,0,0
1777528,0,0,0
1777531,0,0,0
1777534,0,0,0
1777537,0,0,0
1777540,0,0,0
1777542,0,0,0
1777545,0,0,0
1777547,0,0,0
1777550,0,0,0
1777553,0,0,0
1777555,0,0,0
1777558,0,0,0
1777560,0,0,0
1777563,0,0,0
1777565,0,0,0
1777568,0,0,0
1777571,0,0,0
