Direction,tCount,Time,HeadPitch,HeadYaw,HeadRoll,BodyPitch,BodyYaw,BodyRoll
Up,1,3.651753,0.6342734,0.08622923,-0.23239,0.6489125,-0.1690205,0.08622923
Up,1,3.742375,0.6311808,0.08156469,-0.2255535,0.6587883,-0.1440177,0.1008706
Up,1,3.778153,0.6265134,0.08156469,-0.2229358,0.6708556,-0.1170339,0.1101434
Up,1,3.818557,0.6274496,0.07912937,-0.2220564,0.6829963,-0.09691329,0.1203313
Up,1,3.847008,0.628073,0.07661668,-0.2193969,0.6977351,-0.07912937,0.1312212
Up,1,3.885714,0.6262009,0.07401875,-0.2121421,0.711894,-0.06255726,0.1384764
Up,1,3.914582,0.629007,0.07132626,-0.2074791,0.7260464,-0.04423466,0.1467098
Up,1,3.944849,0.629007,0.07132626,-0.2027088,0.7393991,-0.03426402,0.1532334
Up,1,3.985099,0.6283845,0.06852804,-0.2007689,0.7522548,-0.01978234,0.1582588
Up,1,4.013755,0.6333472,0.07132626,-0.2017412,0.762332,0,0.1631294
Up,1,4.053022,0.6321102,0.06852804,-0.199792,0.7699938,0,0.1678588
Up,1,4.083062,0.6296288,0.0656106,-0.1978235,0.7717707,0,0.1701742
Up,1,4.11228,0.6271377,0.0656106,-0.1948336,0.7735435,0.01978234,0.1701742
Up,1,4.151834,0.6283845,0.0656106,-0.191797,0.7755645,0.03426402,0.1701742
Up,1,4.18145,0.6271377,0.06255726,-0.191797,0.7785863,0.03426402,0.1678588
Up,1,4.220601,0.6296288,0.0656106,-0.191797,0.7833468,0.01978234,0.166689
Up,1,4.250855,0.6351982,0.05934703,-0.1907741,0.7853427,0.01978234,0.1643245
Up,1,4.288796,0.649214,0.06255726,-0.1897456,0.7808449,0,0.1643245
Up,1,4.317508,0.6691033,0.06255726,-0.1907741,0.7740492,0,0.1631294
Up,1,4.346524,0.6766641,0.0656106,-0.1907741,0.7669383,-0.01978234,0.165511
Up,1,4.375096,0.6829963,0.0656106,-0.1907741,0.7582139,0,0.166689
Up,1,4.418189,0.6869956,0.06852804,-0.1907741,0.7553698,-0.01978234,0.1780411
Up,1,4.460227,0.6912548,0.05595291,-0.2112177,0.7449358,0,0.1978235
Up,1,4.496563,0.6988559,0.04845664,-0.2315465,0.7459858,0,0.2238118
Up,1,4.524574,0.7105184,0.03956468,-0.2470816,0.7592455,0,0.25101
Up,1,4.553041,0.7219925,0.03426402,-0.2579304,0.776825,-0.03426402,0.2818553
Up,1,4.58112,0.7298098,0.03426402,-0.2676108,0.8062432,-0.06255726,0.3214254
Up,1,4.612284,0.7428315,0.03426402,-0.2748253,0.8515682,-0.09691329,0.3471792
Up,1,4.650997,0.751474,0.03956468,-0.2748253,0.8778186,-0.1493534,0.3571801
Up,1,4.679488,0.7633579,0.03426402,-0.2741124,0.9285166,-0.2158,0.3560827
Up,1,4.71911,0.7763211,0.03956468,-0.2697954,1.022207,-0.2422834,0.3743001
Up,1,4.747599,0.7890712,0.03956468,-0.2646699,1.078471,-0.2470816,0.4338616
Up,1,4.777354,0.8013745,0.03426402,-0.2601963,1.155044,-0.3516591,0.4921804
Up,1,4.817132,0.8091505,0,-0.2533378,1.119426,-0.4000739,0.468137
Up,1,4.84534,0.8173313,0,-0.2390311,1.048665,-0.4338616,0.4242849
Up,1,4.873862,0.8508785,0,-0.2176059,0.9675278,-0.4562834,0.3820612
Up,1,4.902868,0.8989637,0,-0.2027088,0.8627541,-0.4626713,0.3454843
Up,1,4.942444,0.9585876,0.02797646,-0.1897456,0.7354187,-0.4698059,0.311533
Up,1,4.970387,1.017411,0.04423466,-0.174713,0.6068404,-0.4881886,0.2797648
Up,1,4.999283,1.065694,0.05233916,-0.1678588,0.4780633,-0.5120549,0.25101
Up,1,5.027604,1.109417,0.05934703,-0.165511,0.3571801,-0.5370479,0.2298502
Up,1,5.066889,1.141582,0.05595291,-0.1643245,0.2430897,-0.5581307,0.2065338
Up,1,5.095497,1.153009,0.04423466,-0.1769387,0.1769387,-0.5712977,0.183454
Up,1,5.123594,1.154536,0.02797646,-0.1845175,-0.2046302,-0.5709552,0.165511
Up,1,5.152555,1.151481,0.01978234,-0.1855749,-0.2880355,-0.5668277,0.1532334
Up,1,5.181143,1.150971,0,-0.1866263,-0.3722032,-0.5609285,0.1398823
Up,1,5.22025,1.155552,0.01978234,-0.183454,-0.4511079,-0.5492961,0.1251145
Up,1,5.248848,1.161969,0.02797646,-0.1802258,-0.5203939,-0.5421248,0.1170339
Up,1,5.278241,1.18366,0.04423466,-0.1735894,-0.5767518,-0.5377761,0.1046783
Up,1,5.317126,1.214987,0.05934703,-0.1631294,-0.6180231,-0.5293413,0.09065409
Up,1,5.346314,1.248508,0.08156469,-0.1557664,-0.6528208,-0.5215207,0.07401875
Up,1,5.374689,1.281306,0.1008706,-0.1506579,-0.6798376,-0.518133,0.05934703
Up,1,5.402742,1.308358,0.1186941,-0.14537,-0.7044336,-0.5218958,0.04423466
Up,1,5.431832,1.311644,0.1235407,-0.1519511,-0.7300779,-0.5245137,0.03426402
Up,1,5.471327,1.297243,0.1136409,-0.165511,-0.7564052,-0.5263757,0.01978234
Up,1,5.499926,1.288919,0.09891172,-0.1791368,-0.7810954,-0.5260038,0.01978234
Up,1,5.528771,1.2698,0.08392937,-0.1928145,-0.8016186,-0.5274898,0
Up,1,5.567768,1.272417,0.07401875,-0.2017412,-0.8259051,-0.5278606,0
Up,1,5.596,1.277022,0.07401875,-0.2112177,-0.8460353,-0.5267473,0
Up,1,5.631081,1.280389,0.08392937,-0.2148914,-0.8602557,-0.5245137,0
Up,1,5.674089,1.287096,0.09691329,-0.2211734,-0.8706562,-0.5215207,-0.01978234
Up,1,5.709397,1.297695,0.1119058,-0.2272819,-0.8693066,-0.5116726,-0.02797646
Up,1,5.737818,1.317153,0.1266688,-0.2422834,-0.8552368,-0.5031891,-0.02797646
Up,1,5.777767,1.360275,0.1532334,-0.2571706,-0.8432553,-0.501241,-0.01978234
Up,1,5.806299,1.404303,0.1758294,-0.2654082,-0.8343908,-0.5000685,0
Up,1,5.834627,1.478697,0.1958353,-0.2646699,-0.8292154,-0.4992853,0
Up,1,5.863233,1.594218,0.2130625,-0.2624426,-0.8240075,-0.4981082,0
Up,1,5.902018,1.733365,0.2220564,-0.272681,-0.8223435,-0.4933717,0
Up,1,5.930465,1.833016,0.2289973,-0.2859903,-0.8197219,-0.4885893,0
Up,1,5.959846,1.955347,0.2438933,-0.3127867,-0.8192443,-0.4801054,0
Up,1,5.987957,2.176548,0.2654082,-0.3310224,-0.82377,-0.4710537,0
Up,1,6.016295,2.425193,0.2853053,-0.3609945,-0.8285072,-0.4592754,0
Up,1,6.054087,2.743596,0.3090104,-0.4059006,-0.8292154,-0.4493696,0
Up,1,6.084257,3.079243,0.3333784,-0.4597013,-0.8277984,-0.4432315,0
Up,1,6.112744,3.434503,0.3386196,-0.5112901,-0.8192443,-0.4410186,0.01978234
Up,1,6.141039,3.82372,0.3409232,-0.5439265,-0.8089085,-0.4410186,0.02797646
Up,1,6.180468,4.410421,0.3911712,-0.5928131,-0.7915472,-0.4374548,0.03956468
Up,1,6.208642,4.788557,0.373777,-0.6507192,-0.7745547,-0.4347627,0.04845664
Up,1,6.236742,5.416419,0.3921704,-0.7263159,-0.7576976,-0.4343124,0.05934703
Up,1,6.265767,6.052394,0.3916712,-0.7783349,-0.7409853,-0.4343124,0.06852804
Up,1,6.29434,6.621195,0.373777,-0.8139727,-0.7276617,-0.4338616,0.07661668
Up,1,6.332756,7.169627,0.3333784,-0.8910931,-0.7154584,-0.4316007,0.08392937
Up,1,6.361895,7.727915,0.2853053,-0.9791879,-0.7024865,-0.4261257,0.08392937
Up,1,6.390812,8.264032,0.2517883,-1.046237,-0.6864257,-0.4196478,0.08392937
Up,1,6.418689,8.774538,0.23239,-1.115573,-0.6731851,-0.4125943,0.07661668
Up,1,6.446968,9.290835,0.2446942,-1.170861,-0.6717301,-0.4044518,0.0656106
Up,1,6.485478,9.780643,0.2676108,-1.253358,-0.6832828,-0.3876539,0.05233916
Up,1,6.514814,10.26272,0.2783625,-1.343775,-0.6932335,-0.3711503,0.04423466
Up,1,6.543314,10.80708,0.309643,-1.393251,-0.6957693,-0.3588198,0.03956468
