time,turnedAngle,pitchAngle,yawAngle
459,0,0,0
3925501,0,0,0
3925505,0,0,0
3925508,0,0,0
3925515,0,0,0
3925518,0,0,0
3925520,0,0,0
3925523,0,0,0
3925526,0,0,0
3925528,0,0,0
3925531,0,0,0
3925533,0,0,0
3925536,0,0,0
3925538,0,0,0
3925541,0,0,0
3925544,0,0,0
3925547,0,0,0
3925550,0,0,0
3925552,0,0,0
3925555,0,0,0
3925557,0,0,0
3925560,0,0,0
3925563,0,0,0
3925565,0,0,0
3925568,0,0,0
3925570,0,0,0
3925573,0,0,0
3925576,0,0,0
3925578,0,0,0
3925581,0,0,0
3925583,0,0,0
3925586,0,0,0
3925588,0,0,0
3925592,0,0,0
3925595,0,0,0
3925597,0,0,0
3925600,0,0,0
3925602,0,0,0
3925605,0,0,0
3925607,0,0,0
3925610,0,0,0
3925613,0,0,0
3925615,0,0,0
3925618,0,0,0
3925620,0,0,0
3925623,0,0,0
3925625,0,0,0
3925628,0,0,0
3925632,0,0,0
3925634,0,0,0
3925637,0,0,0
3925639,0,0,0
3925642,0,0,0
3925644,0,0,0
3925647,0,0,0
3925650,0,0,0
3925652,0,0,0
3925655,0,0,0
3925657,0,0,0
3925660,0,0,0
3925662,0,0,0
3925665,0,0,0
3925668,0,0,0
3925670,0,0,0
3925673,0,0,0
3925676,0,0,0
3925679,0,0,0
3925681,0,0,0
3925684,0,0,0
3925687,0,0,0
3925689,0,0,0
3925692,0,0,0
3925694,0,0,0
3925697,0,0,0
3925699,0,0,0
3925702,0,0,0
3925705,0,0,0
3925707,0,0,0
3925710,0,0,0
3925712,0,0,0
3925715,0,0,0
3925718,0,0,0
3925721,0,0,0
3925724,0,0,0
3925726,0,0,0
3925729,0,0,0
3925731,0,0,0
3925734,0,0,0
3925736,0,0,0
3925739,0,0,0
3925742,0,0,0
3925744,0,0,0
3925747,0,0,0
3925749,0,0,0
3925752,0,0,0
3925754,0,0,0
3925757,0,0,0
3925761,0,0,0
3925763,0,0,0
3925766,0,0,0
3925768,0,0,0
3925771,0,0,0
3925773,0,0,0
3925776,0,0,0
3925779,0,0,0
3925781,0,0,0
3925784,0,0,0
3925786,0,0,0
3925789,0,0,0
3925792,0,0,0
3925794,0,0,0
3925797,0,0,0
3925799,0,0,0
3925803,0,0,0
3925805,0,0,0
3925808,0,0,0
3925811,0,0,0
3925813,0,0,0
3925816,0,0,0
3925818,0,0,0
3925821,0,0,0
3925823,0,0,0
3925826,0,0,0
3925829,0,0,0
3925831,0,0,0
3925834,0,0,0
3925836,0,0,0
3925839,0,0,0
3925841,0,0,0
3925844,0,0,0
3925848,0,0,0
3925850,0,0,0
3925853,0,0,0
3925855,0,0,0
3925858,0,0,0
3925860,0,0,0
3925863,0,0,0
3925866,0,0,0
3925868,0,0,0
3925871,0,0,0
3925873,0,0,0
3925876,0,0,0
3925878,0,0,0
3925881,0,0,0
3925884,0,0,0
3925886,0,0,0
3925890,0,0,0
3925892,0,0,0
3925895,0,0,0
3925897,0,0,0
3925900,0,0,0
3925903,0,0,0
3925905,0,0,0
3925908,0,0,0
3925910,0,0,0
3925913,0,0,0
3925915,0,0,0
3925918,0,0,0
3925921,0,0,0
3925923,0,0,0
3925926,0,0,0
3925928,0,0,0
3925932,0,0,0
3925934,0,0,0
3925937,0,0,0
3925940,0,0,0
3925942,0,0,0
3925945,0,0,0
3925947,0,0,0
3925950,0,0,0
3925952,0,0,0
3925955,0,0,0
3925958,0,0,0
3925960,0,0,0
3925963,0,0,0
3925965,0,0,0
3925968,0,0,0
3925970,0,0,0
3925974,0,0,0
3925977,0,0,0
3925979,0,0,0
3925982,0,0,0
3925984,0,0,0
3925987,0,0,0
3925990,0,0,0
3925992,0,0,0
3925995,0,0,0
3925997,0,0,0
3926000,0,0,0
3926002,0,0,0
3926005,0,0,0
3926008,0,0,0
3926010,0,0,0
3926013,0,0,0
3926016,0,0,0
3926019,0,0,0
3926021,0,0,0
3926024,0,0,0
3926027,0,0,0
3926029,0,0,0
3926032,0,0,0
3926034,0,0,0
3926037,0,0,0
3926039,0,0,0
3926042,0,0,0
3926045,0,0,0
3926047,0,0,0
3926050,0,0,0
3926052,0,0,0
3926055,0,0,0
3926057,0,0,0
3926061,0,0,0
3926064,0,0,0
3926066,0,0,0
3926069,0,0,0
3926071,0,0,0
3926074,0,0,0
3926076,0,0,0
3926079,0,0,0
3926082,0,0,0
3926084,0,0,0
3926087,0,0,0
3926089,0,0,0
3926092,0,0,0
3926094,0,0,0
3926097,0,0,0
3926100,0,0,0
3926103,0,0,0
3926106,0,0,0
3926108,0,0,0
3926111,0,0,0
3926113,0,0,0
3926116,0,0,0
3926119,0,0,0
3926121,0,0,0
3926124,0,0,0
3926126,0,0,0
3926129,0,0,0
3926131,0,0,0
3926134,0,0,0
3926137,0,0,0
3926139,0,0,0
3926142,0,0,0
3926145,0,0,0
3926148,0,0,0
3926150,0,0,0
3926153,0,0,0
3926156,0,0,0
3926158,0,0,0
3926161,0,0,0
3926163,0,0,0
3926166,0,0,0
3926168,0,0,0
3926171,0,0,0
3926174,0,0,0
3926176,0,0,0
3926179,0,0,0
3926181,0,0,0
3926184,0,0,0
3926187,0,0,0
3926190,0,0,0
3926193,0,0,0
3926195,0,0,0
3926198,0,0,0
3926200,0,0,0
3926203,0,0,0
3926206,0,0,0
3926208,0,0,0
3926211,0,0,0
3926213,0,0,0
3926216,0,0,0
3926218,0,0,0
3926221,0,0,0
3926224,0,0,0
3926226,0,0,0
3926230,0,0,0
3926232,0,0,0
3926235,0,0,0
3926237,0,0,0
3926240,0,0,0
3926243,0,0,0
3926245,0,0,0
3926248,0,0,0
3926250,0,0,0
3926253,0,0,0
3926255,0,0,0
3926258,0,0,0
3926261,0,0,0
3926263,0,0,0
3926266,0,0,0
3926268,0,0,0
3926272,0,0,0
3926274,0,0,0
3926277,0,0,0
3926280,0,0,0
3926282,0,0,0
3926285,0,0,0
3926287,0,0,0
3926290,0,0,0
3926292,0,0,0
3926295,0,0,0
3926298,0,0,0
3926300,0,0,0
3926303,0,0,0
3926305,0,0,0
3926308,0,0,0
3926310,0,0,0
3926313,0,0,0
3926317,0,0,0
3926319,0,0,0
3926322,0,0,0
3926324,0,0,0
3926327,0,0,0
3926329,0,0,0
3926332,0,0,0
3926335,0,0,0
3926337,0,0,0
3926340,0,0,0
3926342,0,0,0
3926345,0,0,0
3926347,0,0,0
3926350,0,0,0
3926353,0,0,0
3926355,0,0,0
3926359,0,0,0
3926361,0,0,0
3926364,0,0,0
3926366,0,0,0
3926369,0,0,0
3926372,0,0,0
3926374,0,0,0
3926377,0,0,0
3926379,0,0,0
3926382,0,0,0
3926384,0,0,0
3926387,0,0,0
3926390,0,0,0
3926392,0,0,0
3926395,0,0,0
3926397,0,0,0
3926401,0,0,0
3926404,0,0,0
3926406,0,0,0
3926409,0,0,0
3926411,0,0,0
3926414,0,0,0
3926416,0,0,0
3926419,0,0,0
3926422,0,0,0
3926424,0,0,0
3926427,0,0,0
3926429,0,0,0
3926432,0,0,0
3926434,0,0,0
3926437,0,0,0
3926440,0,0,0
3926443,0,0,0
3926446,0,0,0
3926448,0,0,0
3926451,0,0,0
3926453,0,0,0
3926456,0,0,0
3926459,0,0,0
3926461,0,0,0
3926464,0,0,0
3926466,0,0,0
3926469,0,0,0
3926471,0,0,0
3926474,0,0,0
3926477,0,0,0
3926479,0,0,0
3926482,0,0,0
3926484,0,0,0
3926488,0,0,0
3926490,0,0,0
3926493,0,0,0
3926496,0,0,0
3926498,0,0,0
3926501,0,0,0
3926503,0,0,0
3926506,0,0,0
3926508,0,0,0
3926511,0,0,0
3926514,0,0,0
3926516,0,0,0
3926519,0,0,0
3926521,0,0,0
3926524,0,0,0
3926526,0,0,0
3926530,0,0,0
3926533,0,0,0
3926535,0,0,0
3926538,0,0,0
3926540,0,0,0
3926543,0,0,0
3926545,0,0,0
3926548,0,0,0
3926551,0,0,0
3926553,0,0,0
3926556,0,0,0
3926558,0,0,0
3926561,0,0,0
3926563,0,0,0
3926566,0,0,0
3926569,0,0,0
3926572,0,0,0
3926575,0,0,0
3926577,0,0,0
3926580,0,0,0
3926582,0,0,0
3926585,0,0,0
3926588,0,0,0
3926590,0,0,0
3926593,0,0,0
3926595,0,0,0
3926598,0,0,0
3926600,0,0,0
3926603,0,0,0
3926606,0,0,0
3926608,0,0,0
3926611,0,0,0
3926614,0,0,0
3926617,0,0,0
3926620,0,0,0
3926622,0,0,0
3926625,0,0,0
3926627,0,0,0
3926630,0,0,0
3926632,0,0,0
3926635,0,0,0
3926638,0,0,0
3926640,0,0,0
3926643,0,0,0
3926645,0,0,0
3926648,0,0,0
3926650,0,0,0
3926653,0,0,0
3926657,0,0,0
3926659,0,0,0
3926662,0,0,0
3926664,0,0,0
3926667,0,0,0
3926669,0,0,0
3926672,0,0,0
3926675,0,0,0
3926677,0,0,0
3926680,0,0,0
3926682,0,0,0
3926685,0,0,0
3926687,0,0,0
3926690,0,0,0
3926693,0,0,0
3926695,0,0,0
3926699,0,0,0
3926701,0,0,0
3926704,0,0,0
3926706,0,0,0
3926709,0,0,0
3926712,0,0,0
3926714,0,0,0
3926717,0,0,0
3926719,0,0,0
3926722,0,0,0
3926724,0,0,0
3926727,0,0,0
3926730,0,0,0
3926732,0,0,0
3926735,0,0,0
3926737,0,0,0
3926740,0,0,0
3926743,0,0,0
3926746,0,0,0
3926749,0,0,0
3926751,0,0,0
3926754,0,0,0
3926756,0,0,0
3926759,0,0,0
3926761,0,0,0
3926764,0,0,0
3926767,0,0,0
3926769,0,0,0
3926772,0,0,0
3926774,0,0,0
3926777,0,0,0
3926779,0,0,0
3926782,0,0,0
3926786,0,0,0
3926788,0,0,0
3926791,0,0,0
3926793,0,0,0
3926796,0,0,0
3926798,0,0,0
3926801,0,0,0
3926804,0,0,0
3926806,0,0,0
3926809,0,0,0
3926811,0,0,0
3926814,0,0,0
3926816,0,0,0
3926819,0,0,0
3926822,0,0,0
3926824,0,0,0
3926828,0,0,0
3926830,0,0,0
3926833,0,0,0
3926836,0,0,0
3926838,0,0,0
3926841,0,0,0
3926843,0,0,0
3926846,0,0,0
3926848,0,0,0
3926851,0,0,0
3926854,0,0,0
3926856,0,0,0
3926859,0,0,0
3926861,0,0,0
3926864,0,0,0
3926866,0,0,0
3926870,0,0,0
3926873,0,0,0
3926875,0,0,0
3926878,0,0,0
3926880,0,0,0
3926883,0,0,0
3926885,0,0,0
3926888,0,0,0
3926891,0,0,0
3926893,0,0,0
3926896,0,0,0
3926898,0,0,0
3926901,0,0,0
3926903,0,0,0
3926906,0,0,0
3926909,0,0,0
3926912,0,0,0
3926915,0,0,0
3926917,0,0,0
3926920,0,0,0
3926922,0,0,0
3926925,0,0,0
3926928,0,0,0
3926930,0,0,0
3926933,0,0,0
3926935,0,0,0
3926938,0,0,0
3926940,0,0,0
3926943,0,0,0
3926946,0,0,0
3926948,0,0,0
3926951,0,0,0
3926953,0,0,0
3926957,0,0,0
3926959,0,0,0
3926962,0,0,0
3926965,0,0,0
3926967,0,0,0
3926970,0,0,0
3926972,0,0,0
3926975,0,0,0
3926977,0,0,0
3926980,0,0,0
3926983,0,0,0
3926985,0,0,0
3926988,0,0,0
3926990,0,0,0
3926993,0,0,0
3926995,0,0,0
3926999,0,0,0
3927002,0,0,0
3927004,0,0,0
3927007,0,0,0
3927009,0,0,0
3927012,0,0,0
3927014,0,0,0
3927017,0,0,0
3927020,0,0,0
3927022,0,0,0
3927025,0,0,0
3927027,0,0,0
3927030,0,0,0
3927033,0,0,0
3927035,0,0,0
3927038,0,0,0
3927041,0,0,0
3927044,0,0,0
3927046,0,0,0
3927049,0,0,0
3927052,0,0,0
3927054,0,0,0
3927057,0,0,0
3927059,0.1136409,0.1119058,-0.1235407
3927062,0.2027088,0.2036718,-0.1119058
3927064,0.2027088,0.2036718,-0.1119058
3927067,0.332791,0.3380413,-0.1266688
3927070,0.332791,0.3380413,-0.1266688
3927072,0.3851218,0.3901695,-0.1170339
3927075,0.4261257,0.4316007,-0.1083524
3927077,0.4261257,0.4316007,-0.1083524
3927080,0.4519747,0.4588492,-0.1186941
3927083,0.4722982,0.4809199,-0.1266688
3927086,0.4722982,0.4809199,-0.1266688
3927089,0.4909863,0.4985009,-0.1186941
3927091,0.5055169,0.5132,-0.1136409
3927094,0.5055169,0.5132,-0.1136409
3927096,0.5177552,0.5248867,-0.1083524
3927099,0.5230194,0.5319225,-0.1186941
3927101,0.5230194,0.5319225,-0.1186941
3927104,0.5366834,0.5453635,-0.1186941
3927107,0.5366834,0.5453635,-0.1186941
3927109,0.5439265,0.5521386,-0.1119058
3927112,0.5500081,0.5574291,-0.1065312
3927114,0.5500081,0.5574291,-0.1065312
3927117,0.5507192,0.5591815,-0.1170339
3927119,0.5510744,0.5609285,-0.1251145
3927122,0.5510744,0.5609285,-0.1251145
3927126,0.5521386,0.5609285,-0.1170339
3927128,0.5528469,0.5612772,-0.1119058
3927131,0.5528469,0.5612772,-0.1119058
3927133,0.5584812,0.5640592,-0.09278741
3927136,0.5567266,0.5637122,-0.1046783
3927138,0.5567266,0.5637122,-0.1046783
3927141,0.5549665,0.5637122,-0.1136409
3927144,0.5549665,0.5637122,-0.1136409
3927146,0.5535544,0.563365,-0.1219466
3927149,0.555319,0.564406,-0.1136409
3927151,0.555319,0.564406,-0.1136409
3927154,0.5567266,0.5647526,-0.1083524
3927156,0.5539077,0.5637122,-0.1186941
3927159,0.5539077,0.5637122,-0.1186941
3927162,0.5517841,0.5626699,-0.1297215
3927164,0.5517841,0.5616257,-0.1203313
3927168,0.5517841,0.5616257,-0.1203313
3927170,0.5542608,0.5647526,-0.1219466
3927173,0.556375,0.5678623,-0.1282043
3927175,0.556375,0.5678623,-0.1282043
3927178,0.55778,0.5706123,-0.132704
3927181,0.55778,0.5706123,-0.132704
3927183,0.5630175,0.5747126,-0.1219466
3927186,0.5678623,0.5784457,-0.1119058
3927188,0.5678623,0.5784457,-0.1119058
3927191,0.569239,0.5811456,-0.1170339
3927193,0.5702693,0.5834977,-0.1219466
3927196,0.5702693,0.5834977,-0.1219466
3927199,0.5868416,0.5977437,-0.1136409
3927201,0.6010084,0.6103771,-0.1065312
3927204,0.6010084,0.6103771,-0.1065312
3927206,0.6039315,0.614212,-0.1136409
3927209,0.6068404,0.6180231,-0.1186941
