time, HeadPitch, HeadYaw, HeadRoll, BodyPitch, BodyYaw, BodyRoll
0.4259322, 0, 0, 0, 0, 0, 0
0.4298228, 1.288008, 0.373777, -0.3763854, 0.1186941, 0.02797646, 0.04845664
0.4337425, 2.292943, 0.5921526, -0.7671934, 0.2112177, 0.02797646, 0.05233916
0.4373177, 3.120105, 0.7730374, -1.088225, 0.2866737, 0.01978234, 0.05934703
0.4411765, 3.749723, 0.9099972, -1.32456, 0.3460502, 0.01978234, 0.05934703
0.4447162, 4.274755, 1.025075, -1.520327, 0.392669, 0.01978234, 0.06255726
0.4483169, 4.715758, 1.122393, -1.683537, 0.4306931, 0.02797646, 0.0656106
0.4516803, 5.061209, 1.206421, -1.805586, 0.4592754, 0.02797646, 0.0656106
0.4550729, 5.35661, 1.278401, -1.909161, 0.4829499, 0.01978234, 0.06852804
0.459523, 5.606018, 1.351326, -1.991937, 0.4965344, 0.02797646, 0.06852804
0.4627779, 5.825208, 1.41513, -2.064122, 0.5082192, 0.02797646, 0.06852804
0.4661201, 5.983729, 1.472463, -2.113315, 0.5154827, 0.02797646, 0.06852804
0.4696092, 6.128519, 1.523671, -2.157854, 0.5215207, 0.03426402, 0.0656106
0.4735214, 6.264504, 1.571096, -2.199447, 0.5260038, 0.03426402, 0.0656106
0.4774209, 6.357181, 1.61034, -2.2244, 0.5078341, 0.01978234, 0.06255726
0.4807825, 6.447284, 1.646751, -2.248902, 0.4925778, 0.01978234, 0.06255726
0.4842638, 6.486913, 1.673978, -2.255332, 0.4652019, 0.01978234, 0.05934703
0.4879644, 6.53441, 1.701229, -2.264858, 0.4419051, 0, 0.05595291
0.4920781, 6.541789, 1.720332, -2.257674, 0.4159008, 0, 0.05595291
0.4951483, 6.559869, 1.739789, -2.255072, 0.393167, 0, 0.05233916
0.4983932, 6.585498, 1.759697, -2.255766, 0.3743001, 0, 0.04845664
0.5019674, 6.555413, 1.770562, -2.233882, 0.3566318, 0, 0.05233916
0.5061227, 6.543437, 1.784216, -2.218938, 0.3409232, 0, 0.05233916
