time,turnedAngle,pitchAngle,yawAngle
8,0,0,0
13919168,0,0,0
13919171,0,0,0
13919163,0,0,0
13919166,0,0,0
13919168,0,0,0
13919171,0,0,0
13919174,0,0,0
13919166,0,0,0
13919168,0,0,0
13919171,0,0,0
13919174,0,0,0
13919176,0,0,0
13919179,0,0,0
13919182,0,0,0
13919184,0,0,0
13919187,0,0,0
13919191,0,0,0
13919193,0,0,0
13919196,0,0,0
13919199,0,0,0
13919201,0,0,0
13919204,0,0,0
13919206,0,0,0
13919209,0,0,0
13919212,0,0,0
13919214,0,0,0
13919217,0,0,0
13919220,0,0,0
13919222,0,0,0
13919225,0,0,0
13919228,0,0,0
13919230,0,0,0
13919234,0,0,0
13919237,0,0,0
13919239,0,0,0
13919242,0,0,0
13919245,0,0,0
13919247,0,0,0
13919250,0,0,0
13919253,0,0,0
13919255,0,0,0
13919258,0,0,0
13919261,0,0,0
13919263,0,0,0
13919266,0,0,0
13919269,0,0,0
13919271,0,0,0
13919275,0,0,0
13919278,0,0,0
13919280,0,0,0
13919283,0,0,0
13919286,0,0,0
13919288,0,0,0
13919291,0,0,0
13919293,0,0,0
13919296,0,0,0
13919299,0,0,0
13919301,0,0,0
13919304,0,0,0
13919307,0,0,0
13919309,0,0,0
13919312,0,0,0
13919315,0,0,0
13919318,0,0,0
13919321,0,0,0
13919324,0,0,0
13919326,0,0,0
13919329,0,0,0
13919332,0,0,0
13919334,0,0,0
13919337,0,0,0
13919340,0,0,0
13919342,0,0,0
13919345,0,0,0
13919348,0,0,0
13919350,0,0,0
13919353,0,0,0
13919356,0,0,0
13919358,0,0,0
13919362,0,0,0
13919365,0,0,0
13919367,0,0,0
13919370,0,0,0
13919373,0,0,0
13919375,0,0,0
13919378,0,0,0
13919380,0,0,0
13919383,0,0,0
13919386,0,0,0
13919388,0,0,0
13919391,0,0,0
13919394,0,0,0
13919396,0,0,0
13919399,0,0,0
13919403,0,0,0
13919405,0,0,0
13919408,0,0,0
13919411,0,0,0
13919413,0,0,0
13919416,0,0,0
13919419,0,0,0
13919421,0,0,0
13919424,0,0,0
13919427,0,0,0
13919429,0,0,0
13919432,0,0,0
13919435,0,0,0
13919437,0,0,0
13919440,0,0,0
13919443,0,0,0
13919446,0,0,0
13919449,0,0,0
13919452,0,0,0
13919454,0,0,0
13919457,0,0,0
13919460,0,0,0
13919462,0,0,0
13919465,0,0,0
13919467,0,0,0
13919470,0,0,0
13919473,0,0,0
13919475,0,0,0
13919478,0,0,0
13919481,0,0,0
13919483,0,0,0
13919486,0,0,0
13919490,0,0,0
13919492,0,0,0
13919495,0,0,0
13919498,0,0,0
13919500,0,0,0
13919503,0,0,0
13919506,0,0,0
13919508,0,0,0
13919511,0,0,0
13919514,0,0,0
13919516,0,0,0
13919519,0,0,0
13919522,0,0,0
13919524,0,0,0
13919527,0,0,0
13919531,0,0,0
13919533,0,0,0
13919536,0,0,0
13919539,0,0,0
13919541,0,0,0
13919544,0,0,0
13919547,0,0,0
13919549,0,0,0
13919552,0,0,0
13919554,0,0,0
13919557,0,0,0
13919560,0,0,0
13919562,0,0,0
13919565,0,0,0
13919568,0,0,0
13919570,0,0,0
13919574,0,0,0
13919577,0,0,0
13919579,0,0,0
13919582,0,0,0
13919585,0,0,0
13919587,0,0,0
13919590,0,0,0
13919593,0,0,0
13919595,0,0,0
13919598,0,0,0
13919601,0,0,0
13919603,0,0,0
13919606,0,0,0
13919609,0,0,0
13919611,0,0,0
13919614,0,0,0
13919618,0,0,0
13919620,0,0,0
13919623,0,0,0
13919626,0,0,0
13919628,0,0,0
13919631,0,0,0
13919634,0,0,0
13919636,0,0,0
13919639,0,0,0
13919641,0,0,0
13919644,0,0,0
13919647,0,0,0
13919649,0,0,0
13919652,0,0,0
13919655,0,0,0
13919657,0,0,0
13919661,0,0,0
13919664,0,0,0
13919666,0,0,0
13919669,0,0,0
13919672,0,0,0
13919674,0,0,0
13919677,0,0,0
13919680,0,0,0
13919682,0,0,0
13919685,0,0,0
13919688,0,0,0
13919690,0,0,0
13919693,0,0,0
13919696,0,0,0
13919698,0,0,0
13919702,0,0,0
13919705,0,0,0
13919707,0,0,0
13919710,0,0,0
13919713,0,0,0
13919715,0,0,0
13919718,0,0,0
13919721,0,0,0
13919723,0,0,0
13919726,0,0,0
13919728,0,0,0
13919731,0,0,0
13919734,0,0,0
13919736,0,0,0
13919739,0,0,0
13919742,0,0,0
13919745,0,0,0
13919748,0,0,0
13919751,0,0,0
13919753,0,0,0
13919756,0,0,0
13919759,0,0,0
13919761,0,0,0
13919764,0,0,0
13919767,0,0,0
13919769,0,0,0
13919772,0,0,0
13919775,0,0,0
13919777,0,0,0
13919780,0,0,0
13919783,0,0,0
13919785,0,0,0
13919789,0,0,0
13919792,0,0,0
13919794,0,0,0
13919797,0,0,0
13919800,0,0,0
13919802,0,0,0
13919805,0,0,0
13919808,0,0,0
13919810,0,0,0
13919813,0,0,0
13919815,0,0,0
13919818,0,0,0
13919821,0,0,0
13919823,0,0,0
13919826,0,0,0
13919830,0,0,0
13919832,0,0,0
13919835,0,0,0
13919838,0,0,0
13919840,0,0,0
13919843,0,0,0
13919846,0,0,0
13919848,0,0,0
13919851,0,0,0
13919854,0,0,0
13919856,0,0,0
13919859,0,0,0
13919862,0,0,0
13919864,0,0,0
13919867,0,0,0
13919870,0,0,0
13919873,0,0,0
13919876,0,0,0
13919879,0,0,0
13919881,0,0,0
13919884,0,0,0
13919887,0,0,0
13919889,0,0,0
13919892,0,0,0
13919895,0,0,0
13919897,0,0,0
13919900,0,0,0
13919902,0,0,0
13919905,0,0,0
13919908,0,0,0
13919910,0,0,0
13919913,0,0,0
13919917,0,0,0
13919919,0,0,0
13919922,0,0,0
13919925,0,0,0
13919927,0,0,0
13919930,0,0,0
13919933,0,0,0
13919935,0,0,0
13919938,0,0,0
13919941,0,0,0
13919943,0,0,0
13919946,0,0,0
13919949,0,0,0
13919951,0,0,0
13919954,0,0,0
13919958,0,0,0
13919960,0,0,0
13919963,0,0,0
13919966,0,0,0
13919968,0,0,0
13919971,0,0,0
13919974,0,0,0
13919976,0,0,0
13919979,0,0,0
13919982,0,0,0
13919984,0,0,0
13919987,0,0,0
13919989,0,0,0
13919992,0,0,0
13919995,0,0,0
13919997,0,0,0
13920001,0,0,0
13920004,0,0,0
13920006,0,0,0
13920009,0,0,0
13920012,0,0,0
13920014,0,0,0
13920017,0,0,0
13920020,0,0,0
13920022,0,0,0
13920025,0,0,0
13920028,0,0,0
13920030,0,0,0
13920033,0,0,0
13920036,0,0,0
13920038,0,0,0
13920041,0,0,0
13920045,0,0,0
13920047,0,0,0
13920050,0,0,0
13920053,0,0,0
13920055,0,0,0
13920058,0,0,0
13920061,0,0,0
13920063,0,0,0
13920066,0,0,0
13920069,0,0,0
13920071,0,0,0
13920074,0,0,0
13920076,0,0,0
13920079,0,0,0
13920082,0,0,0
13920084,0,0,0
13920088,0,0,0
13920091,0,0,0
13920093,0,0,0
13920096,0,0,0
13920099,0,0,0
13920101,0,0,0
13920104,0,0,0
13920107,0,0,0
13920109,0,0,0
13920112,0,0,0
13920115,0,0,0
13920117,0,0,0
13920120,0,0,0
13920123,0,0,0
13920125,0,0,0
13920129,0,0,0
13920132,0,0,0
13920134,0,0,0
13920137,0,0,0
13920140,0,0,0
13920142,0,0,0
13920145,0,0,0
13920148,0,0,0
13920150,0,0,0
13920153,0,0,0
13920156,0,0,0
13920158,0,0,0
13920161,0,0,0
13920163,0,0,0
13920166,0,0,0
13920169,0,0,0
13920172,0,0,0
13920175,0,0,0
13920178,0,0,0
13920180,0,0,0
13920183,0,0,0
13920186,0,0,0
13920188,0,0,0
13920191,0,0,0
13920194,0,0,0
13920196,0,0,0
13920199,0,0,0
13920202,0,0,0
13920204,0,0,0
13920207,0,0,0
13920210,0,0,0
13920212,0,0,0
13920216,0,0,0
13920219,0,0,0
13920221,0,0,0
13920224,0,0,0
13920227,0,0,0
13920229,0,0,0
13920232,0,0,0
13920235,0,0,0
13920237,0,0,0
13920240,0,0,0
13920243,0,0,0
13920245,0,0,0
13920248,0,0,0
13920250,0,0,0
13920253,0,0,0
13920257,0,0,0
13920259,0,0,0
13920262,0,0,0
13920265,0,0,0
13920267,0,0,0
13920270,0,0,0
13920273,0,0,0
13920275,0,0,0
13920278,0,0,0
13920281,0,0,0
13920283,0,0,0
13920286,0,0,0
13920289,0,0,0
13920291,0,0,0
13920294,0,0,0
13920297,0,0,0
13920300,0,0,0
13920303,0,0,0
13920306,0,0,0
13920308,0,0,0
13920311,0,0,0
13920314,0,0,0
13920316,0,0,0
13920319,0,0,0
13920322,0,0,0
13920324,0,0,0
13920327,0,0,0
13920330,0,0,0
13920332,0,0,0
13920335,0,0,0
13920337,0,0,0
13920340,0,0,0
13920344,0,0,0
13920346,0,0,0
13920349,0,0,0
13920352,0,0,0
13920354,0,0,0
13920357,0,0,0
13920360,0,0,0
13920362,0,0,0
