Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Up,1,5.81524,(0.22* 0.94* -0.27),(0.13* 0.96* -0.23),-0.3986039,(-0.09* 0.98* 0.17),(-0.10* 0.98* 0.16),(290.47* 140.81* 336.58)
Up,2,8.950454,(0.21* 0.94* -0.27),(0.07* 0.98* -0.20),0.08622923,(-0.10* 0.98* 0.16),(-0.09* 0.98* 0.17),(290.47* 140.81* 336.58)
Up,3,10.61871,(0.22* 0.94* -0.27),(0.06* 0.98* -0.20),0.6531205,(-0.10* 0.98* 0.16),(-0.09* 0.98* 0.18),(290.47* 140.81* 336.58)
Left,1,-11.05017,(0.21* 0.94* -0.27),(0.30* 0.95* -0.10),-0.4374548,(-0.09* 0.98* 0.19),(-0.09* 0.98* 0.18),(290.47* 140.81* 336.58)
Left,2,-8.979053,(0.23* 0.94* -0.26),(0.29* 0.95* -0.11),0.4845679,(-0.09* 0.98* 0.18),(-0.09* 0.98* 0.18),(290.47* 140.81* 336.58)
Left,3,-11.11888,(0.21* 0.94* -0.27),(0.31* 0.95* -0.11),0.6516207,(-0.09* 0.98* 0.17),(-0.09* 0.98* 0.18),(290.47* 140.81* 336.58)
Down,1,-8.904173,(0.22* 0.94* -0.27),(0.35* 0.88* -0.33),0.1008706,(-0.09* 0.97* 0.20),(-0.09* 0.97* 0.21),(290.47* 140.81* 336.58)
Down,2,-6.988366,(0.22* 0.94* -0.28),(0.32* 0.89* -0.32),0.3494264,(-0.09* 0.98* 0.20),(-0.09* 0.97* 0.21),(290.47* 140.81* 336.58)
Down,3,-8.135883,(0.21* 0.94* -0.27),(0.33* 0.89* -0.32),-0.3815487,(-0.09* 0.97* 0.21),(-0.09* 0.97* 0.21),(290.47* 140.81* 336.58)
Right,1,9.77829,(0.23* 0.93* -0.29),(0.13* 0.90* -0.42),0.1480375,(-0.09* 0.98* 0.20),(-0.09* 0.98* 0.20),(290.47* 140.81* 336.58)
Right,2,10.46324,(0.22* 0.94* -0.27),(0.13* 0.90* -0.42),-0.5605795,(-0.09* 0.97* 0.21),(-0.08* 0.98* 0.20),(290.47* 140.81* 336.58)
Right,3,10.32038,(0.21* 0.94* -0.28),(0.13* 0.89* -0.44),-0.1083524,(-0.09* 0.97* 0.21),(-0.09* 0.97* 0.20),(290.47* 140.81* 336.58)
