range,posture,start,end,
270,NormalBed,10027828,10027939,
270,NormalBed,10027828,10028013,
270,NormalBed,10027828,10028043,
270,NormalBed,10027828,10028086,
270,NormalBed,10027828,10028116,
270,NormalBed,10027828,10028143,
270,NormalBed,10027828,10028176,
270,NormalBed,10027828,10028214,
270,NormalBed,10027828,10028258,
270,NormalBed,10027828,10028296,
270,NormalBed,10027828,10028337,
270,NormalBed,10027828,10028363,
270,NormalBed,10027828,10028394,
270,NormalBed,10027828,10028424,
270,NormalBed,10027828,10028450,
270,NormalBed,10027828,10028491,
270,NormalBed,10027828,10028521,
270,NormalBed,10027828,10028546,
270,NormalBed,10027828,10028573,
270,NormalBed,10027828,10028603,
270,NormalBed,10027828,10028631,
270,NormalBed,10027828,10028663,
270,NormalBed,10027828,10028701,
270,NormalBed,10027828,10028744,
270,NormalBed,10027828,10028774,
270,NormalBed,10027828,10028805,
270,NormalBed,10027828,10028831,
270,NormalBed,10027828,10028864,
270,NormalBed,10027828,10028905,
270,NormalBed,10027828,10028946,
270,NormalBed,10027828,10028987,
270,NormalBed,10027828,10029027,
270,NormalBed,10027828,10029068,
270,NormalBed,10027828,10029107,
270,NormalBed,10027828,10029138,
270,NormalBed,10027828,10029171,
270,NormalBed,10027828,10029209,
270,NormalBed,10027828,10029258,
270,NormalBed,10027828,10029296,
270,NormalBed,10027828,10029327,
270,NormalBed,10027828,10029365,
270,NormalBed,10027828,10029391,
270,NormalBed,10027828,10029416,
270,NormalBed,10027828,10029447,
270,NormalBed,10027828,10029473,
270,NormalBed,10027828,10029509,
270,NormalBed,10027828,10029544,
270,NormalBed,10027828,10029585,
270,NormalBed,10027828,10029615,
270,NormalBed,10027828,10029642,
270,NormalBed,10027828,10029672,
270,NormalBed,10027828,10029700,
270,NormalBed,10027828,10029740,
270,NormalBed,10027828,10029778,
270,NormalBed,10027828,10029805,
270,NormalBed,10027828,10029835,
270,NormalBed,10027828,10029865,
270,NormalBed,10027828,10029892,
270,NormalBed,10027828,10029922,
270,NormalBed,10027828,10029949,
270,NormalBed,10027828,10029987,
270,NormalBed,10027828,10030015,
270,NormalBed,10027828,10030045,
270,NormalBed,10027828,10030086,
270,NormalBed,10027828,10030112,
270,NormalBed,10027828,10030143,
270,NormalBed,10027828,10030170,
270,NormalBed,10027828,10030199,
270,NormalBed,10027828,10030224,
270,NormalBed,10027828,10030254,
270,NormalBed,10027828,10030281,
270,NormalBed,10027828,10030311,
270,NormalBed,10027828,10030336,
270,NormalBed,10027828,10030363,
270,NormalBed,10027828,10030393,
270,NormalBed,10027828,10030419,
270,NormalBed,10027828,10030450,
270,NormalBed,10027828,10030475,
270,NormalBed,10027828,10030501,
270,NormalBed,10027828,10030531,
270,NormalBed,10027828,10030559,
270,NormalBed,10027828,10030588,
270,NormalBed,10027828,10030613,
270,NormalBed,10027828,10030643,
270,NormalBed,10027828,10030670,
270,NormalBed,10027828,10030700,
270,NormalBed,10027828,10030741,
270,NormalBed,10027828,10030768,
270,NormalBed,10027828,10030798,
270,NormalBed,10027828,10030825,
270,NormalBed,10027828,10030863,
270,NormalBed,10027828,10030891,
270,NormalBed,10027828,10030920,
270,NormalBed,10027828,10030950,
270,NormalBed,10027828,10030978,
270,NormalBed,10027828,10031007,
270,NormalBed,10027828,10031032,
270,NormalBed,10027828,10031059,
270,NormalBed,10027828,10031089,
270,NormalBed,10027828,10031116,
270,NormalBed,10027828,10031147,
270,NormalBed,10027828,10031181,
270,NormalBed,10027828,10031211,
270,NormalBed,10027828,10031239,
270,NormalBed,10027828,10031268,
270,NormalBed,10027828,10031309,
270,NormalBed,10027828,10031342,
270,NormalBed,10027828,10031396,
270,NormalBed,10035367,10035392,
270,NormalBed,10035367,10035422,
270,NormalBed,10035367,10035449,
270,NormalBed,10035367,10035479,
270,NormalBed,10035367,10035507,
270,NormalBed,10035367,10035531,
270,NormalBed,10035367,10035561,
270,NormalBed,10035367,10035588,
270,NormalBed,10035367,10035618,
270,NormalBed,10035367,10035642,
270,NormalBed,10035367,10035673,
270,NormalBed,10035367,10035699,
270,NormalBed,10035367,10035745,
270,NormalBed,10035367,10035770,
270,NormalBed,10035367,10035803,
270,NormalBed,10035367,10035838,
270,NormalBed,10035367,10035868,
270,NormalBed,10035367,10035896,
270,NormalBed,10035367,10035926,
270,NormalBed,10035367,10035952,
270,NormalBed,10035367,10035977,
270,NormalBed,10035367,10036006,
270,NormalBed,10035367,10036031,
270,NormalBed,10035367,10036062,
270,NormalBed,10035367,10036088,
270,NormalBed,10035367,10036118,
270,NormalBed,10035367,10036143,
270,NormalBed,10035367,10036170,
270,NormalBed,10035367,10036200,
270,NormalBed,10035367,10036228,
270,NormalBed,10035367,10036251,
270,NormalBed,10035367,10036282,
270,NormalBed,10035367,10036308,
270,NormalBed,10035367,10036338,
270,NormalBed,10035367,10036366,
270,NormalBed,10035367,10036393,
270,NormalBed,10035367,10036425,
270,NormalBed,10035367,10036453,
270,NormalBed,10035367,10036477,
270,NormalBed,10035367,10036507,
270,NormalBed,10035367,10036535,
270,NormalBed,10035367,10036573,
270,NormalBed,10035367,10036599,
270,NormalBed,10035367,10036630,
270,NormalBed,10035367,10036657,
270,NormalBed,10035367,10036681,
270,NormalBed,10035367,10036711,
270,NormalBed,10035367,10036742,
270,NormalBed,10035367,10036785,
270,NormalBed,10035367,10036823,
270,NormalBed,10035367,10036850,
270,NormalBed,10035367,10036891,
270,NormalBed,10035367,10036921,
270,NormalBed,10035367,10036947,
270,NormalBed,10035367,10036978,
270,NormalBed,10035367,10037013,
270,NormalBed,10038893,10038923,
270,NormalBed,10038893,10038952,
270,NormalBed,10038893,10038977,
270,NormalBed,10038893,10039018,
270,NormalBed,10038893,10039059,
270,NormalBed,10038893,10039100,
270,NormalBed,10038893,10039143,
270,NormalBed,10038893,10039173,
270,NormalBed,10038893,10039197,
270,NormalBed,10038893,10039225,
270,NormalBed,10038893,10039255,
270,NormalBed,10038893,10039284,
270,NormalBed,10038893,10039309,
270,NormalBed,10038893,10039336,
270,NormalBed,10038893,10039366,
270,NormalBed,10038893,10039393,
270,NormalBed,10038893,10039424,
270,NormalBed,10038893,10039448,
270,NormalBed,10038893,10039480,
270,NormalBed,10038893,10039504,
270,NormalBed,10038893,10039545,
270,NormalBed,10038893,10039573,
270,NormalBed,10038893,10039603,
270,NormalBed,10038893,10039627,
270,NormalBed,10038893,10039657,
270,NormalBed,10038893,10039685,
270,NormalBed,10038893,10039714,
270,NormalBed,10038893,10039739,
270,NormalBed,10038893,10039766,
270,NormalBed,10038893,10039796,
270,NormalBed,10038893,10039823,
270,NormalBed,10038893,10039853,
270,NormalBed,10038893,10039877,
