time,TurnedAngle,HeadPitch,HeadYaw,HeadRoll
0.4190641,0, 0, 0, 0
0.4231508,0.04423466, 0.03956468, -0.01978234, -0.1101434
0.4276169,0.07132626, 0.06852804, 0.01978234, -0.09278741
0.4306706,0.1046783, 0.09278741, 0.04845664, -0.08156469
0.4337341,0.132704, 0.1119058, 0.07132626, -0.07132626
0.4366845,0.1545051, 0.1235407, 0.09278741, -0.06255726
0.4400129,0.1713202, 0.1341704, 0.1065312, -0.05934703
0.4431939,0.1855749, 0.1426525, 0.1186941, -0.05233916
0.4461168,0.1988102, 0.1519511, 0.1282043, -0.04845664
0.4492091,0.2093567, 0.1582588, 0.1370561, -0.04423466
0.453281,0.2176059, 0.1619255, 0.14537, -0.04423466
0.4580526,0.2446942, 0.1948336, 0.1480375, -0.03426402
0.4613363,0.2676108, 0.2211734, 0.1506579, -0.02797646
0.4646339,0.2755364, 0.2281412, 0.1545051, -0.02797646
0.4681524,0.2804634, 0.2315465, 0.1582588, -0.01978234
0.4711531,0.2846186, 0.2349025, 0.1607126, -0.01978234
0.4746939,0.3051875, 0.2594432, 0.1607126, 0
0.47811,0.3220336, 0.2797648, 0.1594904, 0
0.4816014,0.3177519, 0.2748253, 0.1594904, -0.01978234
0.4846613,0.315279, 0.2712421, 0.1607126, 0
0.4875632,0.3134116, 0.2676108, 0.1631294, 0
0.4907038,0.3032579, 0.2548778, 0.1643245, -0.01978234
0.493995,0.2940859, 0.2438933, 0.1643245, 0
0.4970387,0.3064671, 0.2609472, 0.1607126, 0
0.500191,0.3183671, 0.2748253, 0.1607126, 0
0.5032149,0.3274564, 0.2866737, 0.1582588, 0
0.5068044,0.3449174, 0.3077414, 0.1557664, 0
0.5097683,0.3593647, 0.3250574, 0.1532334, 0
0.512652,0.3758652, 0.3443497, 0.1506579, 0
0.515903,0.3886621, 0.3593647, 0.1480375, 0
0.5196442,0.4010509, 0.3727285, 0.1480375, 0
0.5231151,0.4102162, 0.3835945, 0.14537, 0.01978234
0.5264025,0.4177785, 0.3921704, 0.1440177, 0.01978234
0.5295424,0.4068635, 0.3841043, 0.1341704, 0.01978234
0.5331846,0.3995845, 0.3784592, 0.1282043, 0.02797646
0.5362881,0.392669, 0.3732531, 0.1219466, 0.01978234
0.5394227,0.3800071, 0.3626169, 0.1136409, 0.02797646
0.543422,0.3690354, 0.3533245, 0.1065312, 0.01978234
0.5474725,0.3571801, 0.3432113, 0.09891172, 0.01978234
0.5506604,0.3477423, 0.3351346, 0.09278741, 0.02797646
0.5539583,0.3409232, 0.3292442, 0.08846933, 0.01978234
0.5571547,0.332791, 0.3226406, 0.08156469, 0.02797646
0.5604471,0.3268584, 0.3177519, 0.07661668, 0.02797646
0.5637796,0.3226406, 0.3140353, 0.07401875, 0.02797646
0.5671876,0.3195939, 0.311533, 0.07132626, 0.01978234
0.570417,0.3171355, 0.309643, 0.06852804, 0.01978234
0.5745267,0.3140353, 0.3071049, 0.0656106, 0.01978234
0.5776597,0.311533, 0.3051875, 0.06255726, 0.01978234
0.5810471,0.309643, 0.3032579, 0.06255726, 0.01978234
0.58467,0.3077414, 0.302612, 0.05595291, 0.02797646
0.5887355,0.3064671, 0.301316, 0.05595291, 0.01978234
0.5918855,0.3077414, 0.3064671, 0.02797646, 0
0.5952768,0.311533, 0.311533, 0, 0.01978234
0.5991558,0.3127867, 0.3127867, 0, 0.01978234
0.6024775,0.3134116, 0.3134116, 0, 0
0.6056739,0.3195939, 0.3195939, 0, 0.01978234
0.608908,0.3268584, 0.3250574, -0.03426402, 0
0.6122615,0.3322025, 0.3292442, -0.04423466, 0
0.6157629,0.3397734, 0.3333784, -0.0656106, 0
0.6190154,0.3471792, 0.3374619, -0.08156469, 0
0.6222005,0.3533245, 0.3403488, -0.09487279, 0
0.6262952,0.3609945, 0.343781, -0.1101434, 0
0.6294565,0.3674413, 0.3466151, -0.1219466, 0
0.6327438,0.3743001, 0.3499859, -0.132704, -0.01978234
0.6360275,0.3800071, 0.3522151, -0.1426525, 0
0.6399232,0.3851218, 0.3555328, -0.1480375, 0
0.6433526,0.3906707, 0.358274, -0.1557664, 0
0.6472509,0.3961419, 0.3599087, -0.165511, 0
0.6504136,0.4020255, 0.3620769, -0.174713, 0
0.6541659,0.4068635, 0.3642322, -0.1813082, 0
0.6573316,0.4078243, 0.3636945, -0.1845175, -0.01978234
0.6607774,0.4092611, 0.3636945, -0.1876719, -0.01978234
0.6639591,0.4121198, 0.3642322, -0.1928145, 0
0.6673514,0.4149588, 0.364769, -0.1978235, 0
0.6704961,0.4177785, 0.365305, -0.2027088, 0
0.6736485,0.4224361, 0.3658403, -0.2112177, 0
0.6776063,0.4256662, 0.3669084, -0.2158, -0.01978234
0.6809862,0.4311472, 0.3690354, -0.2229358, 0
0.6840607,0.4352126, 0.3706227, -0.2281412, 0
0.6869724,0.4401304, 0.3722032, -0.2349025, -0.01978234
0.6904203,0.4256662, 0.358274, -0.2298502, -0.02797646
0.6941229,0.4140146, 0.3471792, -0.2255535, -0.02797646
0.6976229,0.4054182, 0.3380413, -0.2238118, -0.03426402
0.7008442,0.4073442, 0.3386196, -0.2264194, -0.03426402
0.7041801,0.4087828, 0.3386196, -0.2289973, -0.03426402
0.7074765,0.3971285, 0.3286494, -0.2229358, -0.03956468
0.7104154,0.3876539, 0.3195939, -0.2193969, -0.04845664
0.7138006,0.3906707, 0.3214254, -0.2220564, -0.04423466
0.716682,0.3941611, 0.3238513, -0.2246844, -0.04423466
0.7199037,0.3966355, 0.3250574, -0.2272819, -0.04423466
0.7229999,0.386643, 0.3165179, -0.2220564, -0.04845664
0.7261733,0.3789758, 0.309643, -0.2185032, -0.04845664
0.7289281,0.3716771, 0.3032579, -0.2148914, -0.05233916
0.7326412,0.3636945, 0.2960753, -0.2112177, -0.05595291
0.7357791,0.3555328, 0.2900664, -0.2055842, -0.05595291
0.7392692,0.3774237, 0.3165179, -0.2055842, -0.05595291
0.7422709,0.3941611, 0.3374619, -0.2036718, -0.05233916
0.746004,0.4087828, 0.354982, -0.2027088, -0.05233916
0.7500905,0.4528397, 0.4092611, -0.1938267, -0.04423466
0.7539513,0.4913847, 0.454995, -0.1855749, -0.03426402
0.7572155,0.5162413, 0.4821389, -0.1845175, -0.02797646
0.7604407,0.5370479, 0.5047422, -0.183454, -0.01978234
0.7639392,0.5196414, 0.4869847, -0.1813082, -0.02797646
0.7671173,0.5059038, 0.4731261, -0.1791368, -0.02797646
0.7700528,0.4957456, 0.4626713, -0.1780411, -0.02797646
0.7735728,0.4710537, 0.4365593, -0.1769387, -0.03426402
0.7765512,0.450674, 0.4154301, -0.174713, -0.03426402
0.7793989,0.4584226, 0.4228991, -0.1769387, -0.03426402
0.7823372,0.4660423, 0.4297835, -0.1802258, -0.03426402
0.7862476,0.4710537, 0.4352126, -0.1802258, -0.03426402
0.7897319,0.456712, 0.4196478, -0.1802258, -0.03426402
0.7927605,0.4445539, 0.4068635, -0.1791368, -0.03426402
0.7960436,0.4238235, 0.3851218, -0.1769387, -0.03956468
0.799524,0.4078243, 0.3679734, -0.1758294, -0.04423466
0.8028654,0.3946573, 0.3533245, -0.1758294, -0.04845664
0.8059655,0.4000739, 0.3636945, -0.166689, -0.04423466
0.8092227,0.403483, 0.3716771, -0.1570175, -0.03956468
