time,TurnedAngle,HeadPitch,HeadYaw,HeadRoll
0.448598,0, 0, 0, 0
0.4524328,0.1570175, 0.1153499, 0.1065312, -0.01978234
0.4570211,0.2264194, 0.2065338, 0.09278741, -0.03956468
0.4606586,0.2934199, 0.2811602, 0.08392937, -0.04423466
0.4642622,0.3488659, 0.3403488, 0.07661668, -0.04845664
0.4675906,0.3936644, 0.3881583, 0.0656106, -0.05233916
0.4710512,0.4329587, 0.4284154, 0.06255726, -0.05934703
0.4744328,0.4639383, 0.4601268, 0.05934703, -0.05934703
0.478068,0.4893896, 0.4861804, 0.05595291, -0.06255726
0.4820218,0.509757, 0.5066768, 0.05595291, -0.0656106
0.4856045,0.5263757, 0.5233933, 0.05595291, -0.06852804
0.4891487,0.5388666, 0.5359538, 0.05595291, -0.06852804
0.4921555,0.5489398, 0.5464389, 0.05233916, -0.06852804
0.4953819,0.5591815, 0.5567266, 0.05233916, -0.07401875
0.4993757,0.5675176, 0.5647526, 0.05595291, -0.07401875
0.5025305,0.5743721, 0.5716401, 0.05595291, -0.07401875
0.5057845,0.5797972, 0.57743, 0.05233916, -0.07661668
0.5087548,0.5851721, 0.5824909, 0.05595291, -0.07661668
0.5122097,0.5908293, 0.5878411, 0.05934703, -0.07661668
0.5155368,0.5951191, 0.5924829, 0.05595291, -0.07912937
0.5191926,0.5967609, 0.5941319, 0.05595291, -0.07661668
0.5224519,0.598725, 0.5957764, 0.05934703, -0.07661668
0.5257366,0.6000308, 0.5970887, 0.05934703, -0.07661668
0.5300457,0.6026341, 0.6000308, 0.05595291, -0.07661668
0.5337308,0.6049027, 0.6023093, 0.05595291, -0.07661668
0.5382527,0.6084505, 0.6055493, 0.05934703, -0.07912937
0.5415131,0.6116581, 0.6084505, 0.06255726, -0.07912937
0.5449621,0.614212, 0.6110179, 0.06255726, -0.07661668
0.5483494,0.6158028, 0.6129363, 0.05934703, -0.08156469
0.5518435,0.6177064, 0.6145305, 0.06255726, -0.07912937
0.5552064,0.6177064, 0.6145305, 0.06255726, -0.07912937
0.5583813,0.6177064, 0.6145305, 0.06255726, -0.08156469
0.5614725,0.6177064, 0.6145305, 0.06255726, -0.08156469
0.5653998,0.6170725, 0.614212, 0.05934703, -0.08156469
0.5687035,0.6177064, 0.6145305, 0.06255726, -0.08156469
0.5718516,0.6177064, 0.6145305, 0.06255726, -0.08156469
0.5748882,0.6183397, 0.6148488, 0.0656106, -0.08156469
0.5786726,0.6189722, 0.6158028, 0.06255726, -0.08156469
0.5820747,0.6196041, 0.616438, 0.06255726, -0.08156469
0.5851782,0.6196041, 0.616438, 0.06255726, -0.08156469
0.5880439,0.6192883, 0.616438, 0.05934703, -0.08156469
0.5918426,0.6196041, 0.6167554, 0.05934703, -0.08156469
0.5957459,0.6196041, 0.616438, 0.06255726, -0.08156469
0.5989978,0.618656, 0.6158028, 0.05934703, -0.07912937
0.6022929,0.616438, 0.6135744, 0.05934703, -0.07912937
0.6063705,0.6148488, 0.6119779, 0.05934703, -0.07912937
0.6095436,0.615485, 0.6129363, 0.05595291, -0.08156469
0.6127861,0.6161205, 0.6132555, 0.05934703, -0.08156469
0.6162557,0.6161205, 0.6132555, 0.05934703, -0.08156469
0.6198,0.614212, 0.6113381, 0.05934703, -0.07912937
0.6236551,0.6122975, 0.6094146, 0.05934703, -0.08156469
0.6268792,0.6113381, 0.608772, 0.05595291, -0.07912937
0.6300543,0.6103771, 0.607807, 0.05595291, -0.07912937
0.633794,0.6097356, 0.6071628, 0.05595291, -0.07912937
0.6371119,0.6084505, 0.6058724, 0.05595291, -0.07912937
0.6402463,0.6074851, 0.605226, 0.05233916, -0.07661668
0.6434227,0.6074851, 0.6045791, 0.05934703, -0.07661668
0.6475737,0.605226, 0.6029587, 0.05233916, -0.07912937
0.6506434,0.6036074, 0.6013339, 0.05233916, -0.07661668
0.653606,0.6045791, 0.6023093, 0.05233916, -0.07661668
0.6567759,0.6055493, 0.6029587, 0.05595291, -0.07912937
0.6606917,0.6039315, 0.6016592, 0.05233916, -0.07912937
0.6647265,0.6036074, 0.6010084, 0.05595291, -0.07912937
0.668526,0.6023093, 0.6000308, 0.05233916, -0.07912937
0.6723185,0.6003569, 0.5983981, 0.04845664, -0.07661668
0.6755114,0.6003569, 0.598071, 0.05233916, -0.07912937
0.67911,0.6000308, 0.5977437, 0.05233916, -0.07661668
0.6822542,0.5993783, 0.5974163, 0.04845664, -0.07661668
0.6864301,0.5970887, 0.5951191, 0.04845664, -0.07661668
0.6896564,0.5951191, 0.5931431, 0.04845664, -0.07912937
0.6928314,0.5938025, 0.591822, 0.04845664, -0.07912937
0.6958656,0.5928131, 0.5908293, 0.04845664, -0.07661668
0.6996744,0.591822, 0.5898349, 0.04845664, -0.07661668
0.7031025,0.589503, 0.5875081, 0.04845664, -0.07401875
0.706153,0.5875081, 0.5858405, 0.04423466, -0.07661668
0.7094101,0.5868416, 0.5848376, 0.04845664, -0.07401875
0.7137655,0.5868416, 0.5851721, 0.04423466, -0.07912937
0.7173168,0.5861744, 0.5845029, 0.04423466, -0.07661668
0.7206439,0.5848376, 0.5828267, 0.04845664, -0.07661668
0.7238474,0.583833, 0.5818186, 0.04845664, -0.07401875
0.7274496,0.5841681, 0.5821548, 0.04845664, -0.07401875
0.7309544,0.5845029, 0.5824909, 0.04845664, -0.07401875
0.7343005,0.5851721, 0.5831623, 0.04845664, -0.07661668
0.7386062,0.5841681, 0.5821548, 0.04845664, -0.07661668
0.7422003,0.5831623, 0.5814822, 0.04423466, -0.07401875
0.7457548,0.583833, 0.5818186, 0.04845664, -0.07661668
0.7489423,0.5851721, 0.5831623, 0.04845664, -0.07661668
0.7530012,0.5858405, 0.583833, 0.04845664, -0.07912937
0.7561413,0.5861744, 0.5841681, 0.04845664, -0.07661668
0.759284,0.5861744, 0.5841681, 0.04845664, -0.07401875
0.7627748,0.5845029, 0.5824909, 0.04845664, -0.07401875
0.767022,0.5831623, 0.5811456, 0.04845664, -0.07401875
0.7704361,0.5851721, 0.5834977, 0.04423466, -0.07661668
0.7737835,0.5875081, 0.5855064, 0.04845664, -0.07661668
0.7776765,0.5901666, 0.5881739, 0.04845664, -0.07661668
0.7808979,0.591822, 0.5898349, 0.04845664, -0.07661668
0.7840435,0.5938025, 0.591822, 0.04845664, -0.07661668
0.7874176,0.5931431, 0.5911604, 0.04845664, -0.07912937
0.7906189,0.5931431, 0.5911604, 0.04845664, -0.08156469
0.7944555,0.5944612, 0.5924829, 0.04845664, -0.08156469
0.7975253,0.5957764, 0.5938025, 0.04845664, -0.08156469
0.8006855,0.5967609, 0.5947903, 0.04845664, -0.08156469
0.8049832,0.5957764, 0.5938025, 0.04845664, -0.07912937
0.8083337,0.5954478, 0.5934729, 0.04845664, -0.07912937
0.8121207,0.5967609, 0.5951191, 0.04423466, -0.07912937
0.8152015,0.598725, 0.5964329, 0.05233916, -0.08156469
0.8187665,0.6000308, 0.5977437, 0.05233916, -0.08392937
0.8223897,0.6013339, 0.5993783, 0.04845664, -0.08156469
0.8260937,0.6026341, 0.6003569, 0.05233916, -0.08156469
0.8294331,0.6045791, 0.6023093, 0.05233916, -0.08392937
0.8329186,0.6045791, 0.6029587, 0.04423466, -0.08156469
0.8364345,0.6065179, 0.6045791, 0.04845664, -0.08156469
0.8394967,0.6084505, 0.6061952, 0.05233916, -0.08156469
0.8426985,0.608772, 0.6068404, 0.04845664, -0.08156469
0.8465978,0.6103771, 0.6084505, 0.04845664, -0.08392937
0.8496687,0.6116581, 0.6097356, 0.04845664, -0.08392937
0.8530523,0.6119779, 0.6100564, 0.04845664, -0.08156469
0.8566404,0.612617, 0.6106976, 0.04845664, -0.08156469
0.8602702,0.6119779, 0.6100564, 0.04845664, -0.08392937
0.8636897,0.6106976, 0.608772, 0.04845664, -0.08156469
0.8668366,0.6103771, 0.6084505, 0.04845664, -0.08392937
0.8703768,0.6094146, 0.607807, 0.04423466, -0.08392937
0.8743528,0.6100564, 0.6081289, 0.04845664, -0.08392937
0.8780475,0.6097356, 0.607807, 0.04845664, -0.08392937
0.8814907,0.6094146, 0.6074851, 0.04845664, -0.08392937
0.8850298,0.6094146, 0.6074851, 0.04845664, -0.08392937
0.8884615,0.608772, 0.6068404, 0.04845664, -0.08622923
0.8915167,0.607807, 0.6058724, 0.04845664, -0.08392937
0.8946596,0.6084505, 0.6065179, 0.04845664, -0.08622923
0.8982102,0.6090934, 0.6068404, 0.05233916, -0.08622923
0.901556,0.6071628, 0.605226, 0.04845664, -0.08622923
0.9051239,0.6058724, 0.6039315, 0.04845664, -0.08392937
0.9084098,0.6045791, 0.6026341, 0.04845664, -0.08392937
0.911909,0.6074851, 0.6058724, 0.04423466, -0.08392937
0.915333,0.6103771, 0.6084505, 0.04845664, -0.08392937
0.9184489,0.6122975, 0.6103771, 0.04845664, -0.08392937
0.9220993,0.6135744, 0.6116581, 0.04845664, -0.08156469
0.9265883,0.6145305, 0.612617, 0.04845664, -0.08392937
0.9306585,0.6180231, 0.6158028, 0.05233916, -0.08622923
0.9351365,0.6205508, 0.618656, 0.04845664, -0.08622923
0.9406801,0.6233823, 0.6208661, 0.05595291, -0.08622923
0.9453535,0.6227542, 0.6205508, 0.05233916, -0.08622923
0.9494022,0.6236961, 0.6211812, 0.05595291, -0.08622923
0.9545949,0.6243232, 0.6218109, 0.05595291, -0.08622923
0.9583403,0.6240098, 0.6214961, 0.05595291, -0.08622923
0.9616701,0.6252628, 0.6227542, 0.05595291, -0.08392937
0.9655286,0.6262009, 0.6236961, 0.05595291, -0.08392937
0.9688273,0.6268256, 0.6240098, 0.05934703, -0.08392937
0.9720411,0.6274496, 0.6246366, 0.05934703, -0.08622923
0.9750398,0.6271377, 0.6246366, 0.05595291, -0.08622923
0.9790301,0.6271377, 0.6246366, 0.05595291, -0.08622923
0.9828717,0.6277614, 0.6249498, 0.05934703, -0.08846933
0.9859208,0.6271377, 0.6243232, 0.05934703, -0.08622923
0.9894446,0.6258884, 0.6236961, 0.05233916, -0.08622923
0.9931935,0.6271377, 0.6246366, 0.05595291, -0.08622923
0.9961918,0.6277614, 0.6252628, 0.05595291, -0.08846933
0.9994099,0.6283845, 0.6258884, 0.05595291, -0.08846933
1.002914,0.6262009, 0.6236961, 0.05595291, -0.08392937
1.007107,0.6240098, 0.6218109, 0.05233916, -0.08622923
1.010261,0.6236961, 0.6214961, 0.05233916, -0.08622923
1.013679,0.6230683, 0.6208661, 0.05233916, -0.08622923
1.017321,0.6227542, 0.6208661, 0.04845664, -0.08622923
1.020914,0.6211812, 0.6192883, 0.04845664, -0.08622923
1.024482,0.6199199, 0.6177064, 0.05233916, -0.08392937
1.028412,0.6192883, 0.6170725, 0.05233916, -0.08622923
1.032383,0.6177064, 0.6158028, 0.04845664, -0.08392937
1.035839,0.615167, 0.6132555, 0.04845664, -0.08156469
1.038978,0.6135744, 0.6113381, 0.05233916, -0.08392937
1.042037,0.6122975, 0.6100564, 0.05233916, -0.08392937
