time,TurnedAngle,HeadPitch,HeadYaw,HeadRoll
0.3730372,0, 0, 0, 0
0.3762378,0.09065409, 0.09065409, 0, 0.07912937
0.3804994,0.1341704, 0.132704, 0.01978234, 0.0656106
0.383432,0.1713202, 0.165511, 0.04423466, 0.05595291
0.3863977,0.2470816, 0.2430897, 0.04423466, 0.05934703
0.3892546,0.3090104, 0.3064671, 0.03956468, 0.05934703
0.3923127,0.3609945, 0.358274, 0.04423466, 0.06255726
0.3958732,0.3571801, 0.3533245, 0.05233916, 0.05233916
0.3986402,0.3544303, 0.3488659, 0.06255726, 0.04845664
0.4014823,0.3516591, 0.3449174, 0.06852804, 0.03956468
0.4043743,0.3310224, 0.3238513, 0.06852804, 0.02797646
0.4082505,0.3140353, 0.3058279, 0.07132626, 0.01978234
0.4116616,0.3488659, 0.3420692, 0.06852804, 0.02797646
0.4144588,0.3774237, 0.3711503, 0.06852804, 0.03426402
0.4171543,0.4015385, 0.3961419, 0.0656106, 0.03956468
0.4203147,0.3856296, 0.3789758, 0.07132626, 0.02797646
0.4232486,0.3732531, 0.364769, 0.07912937, 0.02797646
0.4263546,0.3631561, 0.3527702, 0.08622923, 0.01978234
0.4291331,0.3976209, 0.3886621, 0.08392937, 0.03426402
0.431679,0.4261257, 0.4187142, 0.07912937, 0.03956468
0.4348372,0.4502396, 0.4432315, 0.07912937, 0.04423466
0.4379175,0.4306931, 0.4219727, 0.08622923, 0.03956468
0.4408574,0.414487, 0.4039677, 0.09278741, 0.03426402
0.443687,0.4020255, 0.3901695, 0.09691329, 0.03426402
0.4465267,0.4338616, 0.4252063, 0.08622923, 0.03956468
0.4495478,0.4605518, 0.4545648, 0.07401875, 0.04423466
0.4524628,0.4841639, 0.4792896, 0.06852804, 0.04845664
0.4553927,0.4597013, 0.4541341, 0.07132626, 0.04423466
0.45872,0.4401304, 0.4334104, 0.07661668, 0.03956468
0.4625061,0.4677188, 0.4626713, 0.06852804, 0.04423466
0.4664251,0.4913847, 0.4877876, 0.05934703, 0.04845664
0.4709705,0.5267473, 0.5241405, 0.05233916, 0.05934703
0.4754798,0.5581307, 0.5556712, 0.05233916, 0.06852804
0.478894,0.5858405, 0.583833, 0.04845664, 0.07401875
0.4817349,0.6094146, 0.6074851, 0.04845664, 0.08156469
0.4845328,0.6299395, 0.628073, 0.04845664, 0.08392937
0.4883305,0.6543178, 0.6531205, 0.03956468, 0.09065409
0.4917184,0.6755064, 0.6749268, 0.02797646, 0.09278741
0.4945882,0.6943616, 0.6940797, 0.01978234, 0.09691329
0.4977543,0.7049889, 0.7047113, 0.01978234, 0.09891172
0.5013123,0.7151849, 0.7149112, 0.01978234, 0.1027921
0.5044572,0.7255072, 0.7252374, 0.01978234, 0.1046783
0.5073146,0.7348864, 0.7348864, 0, 0.1046783
0.5101219,0.7444103, 0.7444103, 0, 0.1083524
0.5130828,0.7504317, 0.7504317, 0, 0.1101434
0.5164464,0.7569224, 0.7569224, 0, 0.1101434
0.5193656,0.7636142, 0.7633579, -0.01978234, 0.1119058
0.5222811,0.7648944, 0.7646385, -0.01978234, 0.1119058
0.5249267,0.7671934, 0.7669383, -0.01978234, 0.1119058
0.5283229,0.7679582, 0.7674484, -0.02797646, 0.1119058
0.5315601,0.7692311, 0.7687222, -0.02797646, 0.1119058
0.5345441,0.7717707, 0.7710097, -0.03426402, 0.1119058
0.5371323,0.7715172, 0.7707559, -0.03426402, 0.1136409
