time,TurnedAngle,HeadPitch,HeadYaw,HeadRoll
0.4080867,0, 0, 0, 0
0.4122162,0.1594904, 0.1341704, -0.08622923, 0.04423466
0.4173978,0.2564087, 0.2422834, -0.08392937, 0.04845664
0.4212814,0.343781, 0.3333784, -0.08392937, 0.05595291
0.4248906,0.414487, 0.4063823, -0.08156469, 0.06255726
0.4286085,0.4727124, 0.4652019, -0.08392937, 0.06852804
0.4332,0.5192646, 0.5128186, -0.08156469, 0.06852804
0.4364601,0.5581307, 0.5521386, -0.08156469, 0.07401875
0.4398067,0.5699261, 0.5647526, -0.07661668, 0.07401875
0.4437742,0.5784457, 0.5743721, -0.06852804, 0.07661668
0.447273,0.57743, 0.5743721, -0.05934703, 0.07661668
0.4507237,0.577091, 0.5743721, -0.05595291, 0.07401875
0.4543976,0.5712977, 0.5695826, -0.04423466, 0.07401875
0.4585651,0.5671728, 0.5657911, -0.03956468, 0.07661668
0.4621088,0.5630175, 0.5619739, -0.03426402, 0.07401875
0.46558,0.5595313, 0.5588315, -0.02797646, 0.07132626
0.4692946,0.5567266, 0.556375, -0.01978234, 0.07132626
0.4730239,0.5539077, 0.5535544, -0.01978234, 0.07132626
0.4762292,0.5514293, 0.5514293, 0, 0.07132626
0.4795697,0.5492961, 0.5492961, 0, 0.07132626
0.4837599,0.5482264, 0.5482264, 0, 0.07132626
0.4871632,0.5464389, 0.5464389, 0, 0.07132626
0.4907813,0.5450047, 0.5450047, 0, 0.06852804
0.4946253,0.5439265, 0.5439265, 0, 0.06852804
0.4991642,0.5410409, 0.5410409, 0, 0.06852804
0.502648,0.5385033, 0.5385033, 0, 0.07132626
0.5059815,0.5392296, 0.5392296, 0, 0.06852804
0.5099841,0.5399548, 0.5399548, 0, 0.07132626
0.513696,0.5406791, 0.5406791, 0, 0.07132626
0.5170686,0.5414024, 0.5414024, 0, 0.07132626
0.5204925,0.5421248, 0.5421248, 0, 0.07132626
0.5245432,0.5403171, 0.5403171, 0, 0.06852804
0.5277065,0.5388666, 0.5388666, 0, 0.06852804
0.5313554,0.5392296, 0.5392296, 0, 0.07132626
0.5352982,0.5395923, 0.5395923, 0, 0.07132626
0.5401415,0.5395923, 0.5395923, 0, 0.07132626
0.5439665,0.5395923, 0.5395923, 0, 0.07132626
0.5472906,0.5406791, 0.5406791, 0, 0.07401875
0.5510796,0.5414024, 0.5414024, 0, 0.07401875
0.5547201,0.5609285, 0.5609285, 0, 0.07401875
0.5583195,0.57743, 0.57743, 0, 0.07661668
0.5625729,0.5993783, 0.5993783, 0, 0.07661668
0.5663085,0.6180231, 0.6177064, -0.01978234, 0.07912937
0.5699013,0.6339648, 0.6333472, -0.02797646, 0.07661668
0.5729959,0.629007, 0.6286958, -0.01978234, 0.07912937
0.5765271,0.6258884, 0.6252628, -0.02797646, 0.07661668
0.5796168,0.6324196, 0.6318005, -0.02797646, 0.07661668
0.5828282,0.6379647, 0.6373509, -0.02797646, 0.07912937
0.5858328,0.6434618, 0.6425489, -0.03426402, 0.07661668
0.5893296,0.6330382, 0.6324196, -0.02797646, 0.07661668
0.5927574,0.6249498, 0.6243232, -0.02797646, 0.07661668
0.5956541,0.6138933, 0.6135744, -0.01978234, 0.07401875
0.5985605,0.6055493, 0.605226, -0.01978234, 0.07661668
0.6016483,0.5983981, 0.598071, -0.01978234, 0.07401875
0.6048146,0.5898349, 0.589503, -0.01978234, 0.07401875
0.6079081,0.5831623, 0.5828267, -0.01978234, 0.07401875
0.6106207,0.5777687, 0.57743, -0.01978234, 0.07132626
0.6137299,0.5709552, 0.5709552, 0, 0.07401875
0.6171352,0.5657911, 0.5654452, -0.01978234, 0.07132626
0.6201394,0.5598809, 0.5598809, 0, 0.07401875
0.6235058,0.5549665, 0.5549665, 0, 0.07401875
0.6266022,0.5510744, 0.5510744, 0, 0.07132626
0.6298779,0.5485832, 0.5485832, 0, 0.07401875
0.6328836,0.5464389, 0.5464389, 0, 0.07132626
0.6358992,0.5442861, 0.5442861, 0, 0.07401875
0.6390187,0.5619739, 0.5619739, 0, 0.07132626
0.6422329,0.5767518, 0.5767518, 0, 0.07401875
0.6456423,0.5781073, 0.5781073, 0, 0.07132626
0.6488958,0.5801346, 0.5797972, -0.01978234, 0.07132626
0.6518843,0.5811456, 0.5811456, 0, 0.07401875
0.6548616,0.577091, 0.577091, 0, 0.07401875
0.6580889,0.5736903, 0.5736903, 0, 0.07401875
0.6611361,0.5712977, 0.5712977, 0, 0.07132626
0.6642264,0.5657911, 0.5657911, 0, 0.07401875
0.6672627,0.5612772, 0.5612772, 0, 0.07401875
0.6715006,0.556375, 0.556375, 0, 0.07132626
0.6745654,0.5528469, 0.5528469, 0, 0.07401875
0.6776692,0.5500081, 0.5500081, 0, 0.07132626
0.6805981,0.5475121, 0.5471546, -0.01978234, 0.07132626
0.6841435,0.5450047, 0.5450047, 0, 0.07132626
0.6873778,0.5435666, 0.5435666, 0, 0.07132626
0.6902981,0.5424856, 0.5424856, 0, 0.06852804
0.6933466,0.5424856, 0.5424856, 0, 0.07132626
0.6974314,0.5435666, 0.5435666, 0, 0.06852804
0.7005104,0.5442861, 0.5442861, 0, 0.06852804
0.7033916,0.5446455, 0.5446455, 0, 0.07132626
0.7064069,0.5450047, 0.5450047, 0, 0.06852804
0.7095656,0.5450047, 0.5450047, 0, 0.06852804
0.7127419,0.5446455, 0.5446455, 0, 0.06852804
0.7157299,0.5446455, 0.5446455, 0, 0.07132626
0.7184294,0.5442861, 0.5442861, 0, 0.06852804
0.7216809,0.5442861, 0.5442861, 0, 0.0656106
0.7248106,0.5446455, 0.5446455, 0, 0.0656106
0.7275834,0.5446455, 0.5446455, 0, 0.0656106
0.7307605,0.5453635, 0.5453635, 0, 0.0656106
0.7335245,0.5457222, 0.5457222, 0, 0.06255726
0.7367404,0.5637122, 0.5637122, 0, 0.06852804
0.7397432,0.5791218, 0.5787839, -0.01978234, 0.06852804
0.7424835,0.5911604, 0.5911604, 0, 0.06852804
0.7455754,0.5908293, 0.5908293, 0, 0.06852804
0.7487643,0.590498, 0.590498, 0, 0.07132626
0.7518845,0.5908293, 0.5908293, 0, 0.07132626
0.7549775,0.5858405, 0.5858405, 0, 0.06852804
0.7579358,0.5821548, 0.5821548, 0, 0.07132626
0.7610482,0.5794597, 0.5794597, 0, 0.06852804
0.7646803,0.5938025, 0.5934729, -0.01978234, 0.07132626
0.7674347,0.6055493, 0.6055493, 0, 0.07132626
0.7703259,0.6013339, 0.6013339, 0, 0.07132626
0.7734454,0.5983981, 0.5983981, 0, 0.06852804
0.7767382,0.5964329, 0.5964329, 0, 0.06852804
0.7798109,0.589503, 0.589503, 0, 0.06852804
0.7826333,0.5845029, 0.5845029, 0, 0.06852804
0.785466,0.5808088, 0.5808088, 0, 0.07132626
0.7886873,0.5747126, 0.5747126, 0, 0.07132626
0.79185,0.5695826, 0.5695826, 0, 0.07132626
0.7950035,0.5828267, 0.5824909, -0.01978234, 0.07401875
0.7981666,0.5938025, 0.5934729, -0.01978234, 0.07661668
0.8011276,0.6032831, 0.6029587, -0.01978234, 0.07912937
0.8044465,0.6000308, 0.5993783, -0.02797646, 0.07912937
0.8076565,0.598071, 0.5974163, -0.02797646, 0.07912937
0.8103935,0.5970887, 0.5964329, -0.02797646, 0.08156469
0.8132709,0.6097356, 0.608772, -0.03426402, 0.08392937
0.8166904,0.6205508, 0.6192883, -0.03956468, 0.08392937
0.8195851,0.6305605, 0.6293179, -0.03956468, 0.08622923
0.8227548,0.6425489, 0.6410245, -0.04423466, 0.08622923
0.8257807,0.6531205, 0.6513204, -0.04845664, 0.08622923
0.8291703,0.6434618, 0.6419396, -0.04423466, 0.08622923
0.8324128,0.635814, 0.6345818, -0.03956468, 0.08622923
0.835239,0.6305605, 0.629007, -0.04423466, 0.08392937
0.8383091,0.6183397, 0.6173896, -0.03426402, 0.08156469
0.8417481,0.6094146, 0.6084505, -0.03426402, 0.07912937
0.8450576,0.598071, 0.5974163, -0.02797646, 0.07912937
0.8481309,0.5888388, 0.5881739, -0.02797646, 0.07912937
0.8510572,0.5818186, 0.5814822, -0.01978234, 0.07661668
0.8542558,0.5743721, 0.5740312, -0.01978234, 0.07661668
0.8576589,0.5678623, 0.5678623, 0, 0.07401875
0.8606661,0.5637122, 0.5637122, 0, 0.07401875
0.8636096,0.5609285, 0.5609285, 0, 0.07132626
0.8665547,0.5588315, 0.5588315, 0, 0.07401875
0.8702731,0.5764125, 0.5764125, 0, 0.07132626
0.8733952,0.5911604, 0.5911604, 0, 0.07132626
0.8763028,0.6039315, 0.6039315, 0, 0.07132626
0.8795953,0.6068404, 0.6068404, 0, 0.07132626
0.8830557,0.6097356, 0.6097356, 0, 0.06852804
0.8868095,0.6132555, 0.6132555, 0, 0.06852804
0.8899053,0.612617, 0.612617, 0, 0.06852804
0.892961,0.6129363, 0.6129363, 0, 0.06852804
0.896239,0.6138933, 0.6138933, 0, 0.07132626
0.8996406,0.615485, 0.615485, 0, 0.0656106
0.9029762,0.6167554, 0.6167554, 0, 0.0656106
0.9059836,0.6189722, 0.6189722, 0, 0.06852804
0.9104024,0.6205508, 0.6205508, 0, 0.0656106
0.9137682,0.6205508, 0.6202354, 0.01978234, 0.0656106
0.9168506,0.6214961, 0.6211812, 0.01978234, 0.06852804
0.9200468,0.6385778, 0.6385778, 0, 0.06852804
0.9236312,0.6537194, 0.6537194, 0, 0.06852804
0.9267208,0.667053, 0.667053, 0, 0.06852804
0.9297348,0.6652907, 0.6652907, 0, 0.06852804
0.9334532,0.6647022, 0.6647022, 0, 0.07132626
0.9371867,0.6570037, 0.6570037, 0, 0.07132626
0.9404326,0.6510199, 0.6510199, 0, 0.06852804
0.943484,0.6471007, 0.6471007, 0, 0.06852804
0.946759,0.6385778, 0.6385778, 0, 0.06852804
0.9504039,0.6318005, 0.6318005, 0, 0.06852804
0.9536111,0.6205508, 0.6205508, 0, 0.06852804
0.9567066,0.6116581, 0.6116581, 0, 0.06852804
