TimeStamp, Roll, Yaw, Pitch,,
17:44:58,-0.04423466,0.199792,0.4445539,,
17:44:59,-0.2470816,0.5059038,0.5124369,,
17:45:00,23.50081,-99.8546,-9.427254,AVG,STD
17:45:01,-72.98809,-88.15249,-9.602774,-87.9459624,0.342390181
17:45:02,-75.96515,-89.02703,-8.648177,,
17:45:03,-65.18092,-88.45645,-8.294933,,
17:45:04,-64.9761,-87.8935,-8.490702,,
17:45:05,-59.14815,-87.86143,-8.443688,,
17:45:06,-57.34656,-87.40945,-9.213369,,
17:45:07,-68.69605,-87.79807,-9.492539,,
17:45:08,-70.45737,-88.17348,-9.633924,,
17:45:09,-67.87134,-88.12421,-9.782311,,
17:45:10,-69.67513,-87.8851,-9.852752,,
17:45:11,-73.06062,-87.9709,-10.17693,,
17:45:12,-71.68247,-87.73636,-10.39854,,
17:45:13,-71.3164,-87.8489,-10.47202,,
17:45:14,-74.31344,-87.98247,-10.85999,,
17:45:15,-69.22798,-87.63404,-10.55971,,
17:45:16,-69.60049,-87.66913,-10.77168,,
17:45:17,-75.66377,-88.05098,-11.10064,,
17:45:18,-72.23463,-87.93707,-10.89426,,
17:45:19,-74.68873,-88.05058,-11.02789,,
17:45:20,-74.13457,-88.27316,-10.52076,,
17:45:21,-75.61295,-88.04903,-11.15726,,
17:45:22,-75.89022,-88.05056,-11.26068,,
17:45:23,-72.39669,-87.56221,-11.4967,,
17:45:24,-70.44866,-87.69236,-11.09059,,
17:45:25,-68.40701,-87.3601,-11.30075,,
