TimeStamp, Roll, Yaw, Pitch,,
17:17:59,0.03956468,0.3544303,-0.3830841,,
17:18:00,0.01978234,0.5831623,-0.5460806,,
17:18:01,0.09278741,0.5417637,-1.010463,,
17:18:02,-4.016833,25.24465,-5.427767,,
17:18:03,67.19138,97.35591,17.06343,AVG,STD
17:18:04,50.0691,107.5483,20.06904,106.1765824,0.667889933
17:18:05,50.7963,107.3615,20.33153,,
17:18:06,51.15591,106.8467,20.03005,,
17:18:07,52.05824,106.7043,20.38465,,
17:18:08,53.12028,106.5261,20.89183,,
17:18:09,53.92668,106.1507,20.96779,,
17:18:10,53.9632,106.205,21.05135,,
17:18:11,54.78842,106.1301,21.53847,,
17:18:12,55.03307,106.0305,21.56814,,
17:18:13,55.29518,105.9478,21.68011,,
17:18:14,55.90229,105.8294,21.96452,,
17:18:15,55.8468,106.0098,22.13899,,
17:18:16,56.15348,105.8414,22.13741,,
17:18:17,56.57175,105.5854,22.1403,,
17:18:18,56.66795,105.7047,22.34823,,
17:18:19,56.62988,105.8,22.42953,,
17:18:20,58.34125,104.7802,22.43424,,
,,,,,
,,,,,
