TimeStamp, Roll, Yaw, Pitch,,
17:44:02,-0.2390311,0.07401875,0.9369085,,
17:44:03,-0.4196478,-0.01978234,0.8902143,,
17:44:04,-0.1493534,1.017218,0.4484978,,
17:44:05,6.233475,-122.5756,-14.51742,AVG,STD
17:44:06,5.79603,-115.6202,-14.67767,-115.0331,0.3566706
17:44:07,5.935179,-115.6505,-14.92542,,
17:44:08,6.770019,-115.6922,-14.74867,,
17:44:09,5.921887,-115.2112,-14.90681,,
17:44:10,4.089644,-114.926,-14.60634,,
17:44:11,7.076344,-114.8505,-14.78561,,
17:44:12,5.747298,-114.4982,-14.48615,,
17:44:13,4.7674,-114.6957,-14.64596,,
17:44:14,7.134352,-115.1884,-15.51898,,
17:44:15,4.571319,-115.0681,-15.1301,,
17:44:16,5.637046,-114.8342,-15.30465,,
17:44:17,7.23313,-114.9669,-15.31158,,
17:44:18,5.397464,-114.67,-15.09171,,
17:44:19,6.499567,-114.397,-15.11344,,
17:44:20,7.277208,-115.0422,-14.93481,,
17:44:21,6.584575,-114.9538,-14.86738,,
17:44:22,5.599862,-114.7764,-14.7634,,
17:44:23,6.648977,-115.1216,-14.70433,,
17:44:24,7.717267,-115.2698,-14.63595,,
17:44:25,7.66854,-115.2291,-14.74091,,
