TimeStamp, Roll, Yaw, Pitch,,
17:28:35,-0.1312212,0.4116447,0.09691329,,
17:28:36,-0.2832403,1.833444,-0.1370561,,
17:28:37,-3.367495,26.25119,-5.852266,AVG,
17:28:38,-9.09077,41.39571,-8.844956,39.750174,0.710128004
17:28:39,-7.429964,40.65609,-7.763618,,
17:28:40,-6.53924,39.70163,-7.76114,,
17:28:41,-7.597139,39.41076,-9.244436,,
17:28:42,-7.11822,39.63197,-8.915859,,
17:28:43,-7.796691,39.50954,-9.43988,,
17:28:44,-7.862622,39.34424,-9.742977,,
17:28:45,-8.066356,39.33128,-10.06892,,
17:28:46,-7.758585,39.27334,-9.727184,,
17:28:47,-7.727128,39.24718,-9.697062,,
