TimeStamp, Roll, Yaw, Pitch,,
17:42:53,0.07132626,-0.3784592,0.5435666,,
17:42:54,0.2185032,-1.055176,0.2866737,,
17:42:55,0.3316129,-0.7154584,0.7116191,,
17:42:56,0.5961047,-1.908649,0.6440698,,
17:42:57,-0.02797646,-147.835,-12.29142,AVG,STD
17:42:58,-2.635965,-174.7963,-13.59429,-172.2140059,0.986047924
17:42:59,-1.480416,-173.9935,-14.57543,,
17:43:00,-1.488721,-173.4799,-14.42275,,
17:43:01,-1.343483,-172.646,-14.29379,,
17:43:02,-0.4149588,-172.4847,-14.1009,,
17:43:03,0.2406627,-171.9659,-15.02409,,
17:43:04,0.5203939,-171.7846,-15.05553,,
17:43:05,0.4039677,-171.4872,-15.21244,,
17:43:06,0.4861804,-171.8986,-15.6859,,
17:43:07,0.6623429,-171.8076,-15.33504,,
17:43:08,0.7378095,-171.7748,-15.4083,,
17:43:09,0.8018627,-171.8015,-15.51227,,
17:43:10,0.8057577,-171.7943,-15.52143,,
17:43:11,0.7457234,-171.3926,-16.04241,,
17:43:12,0.8586619,-171.4216,-15.52284,,
17:43:13,0.8225815,-171.3212,-15.99999,,
17:43:14,1.084983,-171.7878,-15.62023,,
